"","scri_sample_id","sample_type","sample_filter","fc","fc_methodf","fc_methodm","fc_methodc"
"1","acap_624","grabsample","membrane",55,"sm9222d","sm9222","membranefiltration"
"2","acap_631","grabsample","membrane",200,"sm9222d","sm9222","membranefiltration"
"3","acap_633","grabsample","membrane",225,"sm9222d","sm9222","membranefiltration"
"4","acap_622","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"5","acap_635","grabsample","membrane",1438,"sm9222d","sm9222","membranefiltration"
"6","acap_627","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"7","acap_629","grabsample","membrane",150,"sm9222d","sm9222","membranefiltration"
"8","acap_614","grabsample","membrane",25,"sm9222d","sm9222","membranefiltration"
"9","acap_626","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"10","acap_584","grabsample","membrane",150,"sm9222d","sm9222","membranefiltration"
"11","acap_594","grabsample","membrane",3238,"sm9222d","sm9222","membranefiltration"
"12","acap_592","grabsample","membrane",900,"sm9222d","sm9222","membranefiltration"
"13","acap_591","grabsample","membrane",700,"sm9222d","sm9222","membranefiltration"
"14","acap_589","grabsample","membrane",200,"sm9222d","sm9222","membranefiltration"
"15","acap_587","grabsample","membrane",175,"sm9222d","sm9222","membranefiltration"
"16","acap_585","grabsample","membrane",150,"sm9222d","sm9222","membranefiltration"
"17","acap_590","grabsample","membrane",525,"sm9222d","sm9222","membranefiltration"
"18","acap_580","grabsample","membrane",64,"sm9222d","sm9222","membranefiltration"
"19","acap_1263","grabsample","membrane",7900,"sm9222d","sm9222","membranefiltration"
"20","acap_1252","grabsample","membrane",1400,"sm9222d","sm9222","membranefiltration"
"21","acap_1251","grabsample","membrane",1300,"sm9222d","sm9222","membranefiltration"
"22","acap_1265","grabsample","membrane",25000,"sm9222d","sm9222","membranefiltration"
"23","acap_1266","grabsample","membrane",27000,"sm9222d","sm9222","membranefiltration"
"24","acap_1264","grabsample","membrane",14000,"sm9222d","sm9222","membranefiltration"
"25","acap_1237","grabsample","membrane",175,"sm9222d","sm9222","membranefiltration"
"26","acap_1310","grabsample","membrane",10000,"sm9222d","sm9222","membranefiltration"
"27","acap_1314","grabsample","membrane",19700,"sm9222d","sm9222","membranefiltration"
"28","acap_1300","grabsample","membrane",1650,"sm9222d","sm9222","membranefiltration"
"29","acap_1292","grabsample","membrane",425,"sm9222d","sm9222","membranefiltration"
"30","acap_1301","grabsample","membrane",1650,"sm9222d","sm9222","membranefiltration"
"31","acap_1296","grabsample","membrane",882,"sm9222d","sm9222","membranefiltration"
"32","acap_1308","grabsample","membrane",6300,"sm9222d","sm9222","membranefiltration"
"33","acap_1365","grabsample","membrane",75,"sm9222d","sm9222","membranefiltration"
"34","acap_1358","grabsample","membrane",47,"sm9222d","sm9222","membranefiltration"
"35","acap_1359","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"36","acap_1364","grabsample","membrane",75,"sm9222d","sm9222","membranefiltration"
"37","acap_1373","grabsample","membrane",155,"sm9222d","sm9222","membranefiltration"
"38","acap_1370","grabsample","membrane",125,"sm9222d","sm9222","membranefiltration"
"39","acap_1371","grabsample","membrane",125,"sm9222d","sm9222","membranefiltration"
"40","acap_1360","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"41","acap_1151","grabsample","membrane",0,"sm9222d","sm9222","membranefiltration"
"42","acap_182","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"43","acap_1347","grabsample","membrane",3,"sm9222d","sm9222","membranefiltration"
"44","acap_262","grabsample","membrane",1300,"sm9222d","sm9222","membranefiltration"
"45","acap_250","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"46","acap_251","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"47","acap_243","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"48","acap_266","grabsample","membrane",0,"sm9222d","sm9222","membranefiltration"
"49","acap_831","grabsample","membrane",19700,"sm9222d","sm9222","membranefiltration"
"50","acap_820","grabsample","membrane",4800,"sm9222d","sm9222","membranefiltration"
"51","acap_825","grabsample","membrane",12600,"sm9222d","sm9222","membranefiltration"
"52","acap_830","grabsample","membrane",19000,"sm9222d","sm9222","membranefiltration"
"53","acap_853","grabsample","membrane",76000,"sm9222d","sm9222","membranefiltration"
"54","acap_842","grabsample","membrane",38000,"sm9222d","sm9222","membranefiltration"
"55","acap_837","grabsample","membrane",29000,"sm9222d","sm9222","membranefiltration"
"56","acap_846","grabsample","membrane",52000,"sm9222d","sm9222","membranefiltration"
"57","acap_838","grabsample","membrane",32000,"sm9222d","sm9222","membranefiltration"
"58","acap_550","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"59","acap_567","grabsample","membrane",275,"sm9222d","sm9222","membranefiltration"
"60","acap_543","grabsample","membrane",75,"sm9222d","sm9222","membranefiltration"
"61","acap_526","grabsample","membrane",54,"sm9222d","sm9222","membranefiltration"
"62","acap_913","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"63","acap_914","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"64","acap_938","grabsample","membrane",175,"sm9222d","sm9222","membranefiltration"
"65","acap_968","grabsample","membrane",600,"sm9222d","sm9222","membranefiltration"
"66","acap_959","grabsample","membrane",475,"sm9222d","sm9222","membranefiltration"
"67","acap_939","grabsample","membrane",175,"sm9222d","sm9222","membranefiltration"
"68","acap_961","grabsample","membrane",500,"sm9222d","sm9222","membranefiltration"
"69","acap_989","grabsample","membrane",18900,"sm9222d","sm9222","membranefiltration"
"70","acap_929","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"71","acap_615","grabsample","membrane",25,"sm9222d","sm9222","membranefiltration"
"72","acap_618","grabsample","membrane",40,"sm9222d","sm9222","membranefiltration"
"73","acap_617","grabsample","membrane",40,"sm9222d","sm9222","membranefiltration"
"74","acap_630","grabsample","membrane",160,"sm9222d","sm9222","membranefiltration"
"75","acap_632","grabsample","membrane",220,"sm9222d","sm9222","membranefiltration"
"76","acap_628","grabsample","membrane",110,"sm9222d","sm9222","membranefiltration"
"77","acap_636","grabsample","membrane",2640,"sm9222d","sm9222","membranefiltration"
"78","acap_586","grabsample","membrane",150,"sm9222d","sm9222","membranefiltration"
