"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","bwr_47","grabsample","none",83.3,"bwr","directplating","directplating",1516.05,"bwr","directplating","directplating"
"2","bwr_46","grabsample","none",33.3,"bwr","directplating","directplating",1099.55,"bwr","directplating","directplating"
"3","bwr_49","grabsample","none",133.325,"bwr","directplating","directplating",3099.845,"bwr","directplating","directplating"
"4","bwr_52","grabsample","none",849.945,"bwr","directplating","directplating",9500,"bwr","directplating","directplating"
"5","bwr_51","grabsample","none",183.325,"bwr","directplating","directplating",5700,"bwr","directplating","directplating"
"6","bwr_50","grabsample","none",16.665,"bwr","directplating","directplating",6400,"bwr","directplating","directplating"
"7","bwr_48","grabsample","none",99.95,"bwr","directplating","directplating",2348.9,"bwr","directplating","directplating"
"8","bwr_60","grabsample","none",49.95,"bwr","directplating","directplating",2427.25,"bwr","directplating","directplating"
"9","bwr_63","grabsample","none",316.65,"bwr","directplating","directplating",6100,"bwr","directplating","directplating"
"10","bwr_66","grabsample","none",116.66,"bwr","directplating","directplating",3466.51,"bwr","directplating","directplating"
"11","bwr_64","grabsample","none",66.665,"bwr","directplating","directplating",2316.565,"bwr","directplating","directplating"
"12","bwr_61","grabsample","none",0,"bwr","directplating","directplating",1465.95,"bwr","directplating","directplating"
"13","bwr_59","grabsample","none",760,"bwr","directplating","directplating",3800,"bwr","directplating","directplating"
"14","bwr_62","grabsample","none",449.8,"bwr","directplating","directplating",5700,"bwr","directplating","directplating"
"15","bwr_65","grabsample","none",83.325,"bwr","directplating","directplating",3483.14,"bwr","directplating","directplating"
"16","bwr_57","grabsample","none",0,"bwr","directplating","directplating",1950,"bwr","directplating","directplating"
"17","bwr_53","grabsample","none",5383.08,"bwr","directplating","directplating",5700,"bwr","directplating","directplating"
"18","bwr_56","grabsample","none",1917,"bwr","directplating","directplating",NA,NA,NA,NA
"19","bwr_55","grabsample","none",2983.205,"bwr","directplating","directplating",5700,"bwr","directplating","directplating"
"20","bwr_54","grabsample","none",983.275,"bwr","directplating","directplating",5700,"bwr","directplating","directplating"
"21","bwr_70","grabsample","none",49.995,"bwr","directplating","directplating",3416.525,"bwr","directplating","directplating"
"22","bwr_69","grabsample","none",1966.595,"bwr","directplating","directplating",6100,"bwr","directplating","directplating"
"23","bwr_68","grabsample","none",666.625,"bwr","directplating","directplating",5700,"bwr","directplating","directplating"
"24","bwr_67","grabsample","none",4199.805,"bwr","directplating","directplating",8900,"bwr","directplating","directplating"
"25","bwr_72","grabsample","none",0,"bwr","directplating","directplating",499.65,"bwr","directplating","directplating"
"26","bwr_74","grabsample","none",0,"bwr","directplating","directplating",1366.05,"bwr","directplating","directplating"
"27","bwr_78","grabsample","none",0,"bwr","directplating","directplating",66.665,"bwr","directplating","directplating"
"28","bwr_71","grabsample","none",10,"bwr","directplating","directplating",200,"bwr","directplating","directplating"
"29","bwr_76","grabsample","none",0,"bwr","directplating","directplating",99.99,"bwr","directplating","directplating"
"30","bwr_73","grabsample","none",0,"bwr","directplating","directplating",899.6,"bwr","directplating","directplating"
"31","bwr_77","grabsample","none",0,"bwr","directplating","directplating",233.32,"bwr","directplating","directplating"
"32","bwr_75","grabsample","none",0,"bwr","directplating","directplating",116.66,"bwr","directplating","directplating"
"33","bwr_82","grabsample","none",50,"bwr","directplating","directplating",50,"bwr","directplating","directplating"
"34","bwr_81","grabsample","none",16.665,"bwr","directplating","directplating",33.33,"bwr","directplating","directplating"
"35","bwr_83","grabsample","none",0,"bwr","directplating","directplating",99.995,"bwr","directplating","directplating"
"36","bwr_80","grabsample","none",16.665,"bwr","directplating","directplating",666.63,"bwr","directplating","directplating"
"37","bwr_79","grabsample","none",66.665,"bwr","directplating","directplating",116.665,"bwr","directplating","directplating"
