"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","cbf_586","grabsample","none",649,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"2","cbf_587","grabsample","none",120,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,980,"idexxquantitray","mpn","mpn"
"3","cbf_590","grabsample","none",517,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,850,"idexxquantitray","mpn","mpn"
"4","cbf_578","grabsample","none",116,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"5","cbf_591","grabsample","none",1050,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,610,"idexxquantitray","mpn","mpn"
"6","cbf_589","grabsample","none",145,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,260,"idexxquantitray","mpn","mpn"
"7","cbf_588","grabsample","none",980,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"8","cbf_584","grabsample","none",1550,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"9","cbf_581","grabsample","none",1120,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"10","cbf_580","grabsample","none",179,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"11","cbf_579","grabsample","none",261,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"12","cbf_583","grabsample","none",2420,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"13","cbf_585","grabsample","none",1990,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,670,"idexxquantitray","mpn","mpn"
"14","cbf_582","grabsample","none",127,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"15","cbf_576","grabsample","none",64,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,340,"idexxquantitray","mpn","mpn"
"16","cbf_572","grabsample","none",326,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"17","cbf_570","grabsample","none",291,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"18","cbf_575","grabsample","none",118,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,390,"idexxquantitray","mpn","mpn"
"19","cbf_567","grabsample","none",140,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"20","cbf_565","grabsample","none",154,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"21","cbf_571","grabsample","none",225,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,270,"idexxquantitray","mpn","mpn"
"22","cbf_566","grabsample","none",96,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"23","cbf_564","grabsample","none",99,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"24","cbf_577","grabsample","none",63,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,78,"idexxquantitray","mpn","mpn"
"25","cbf_568","grabsample","none",261,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"26","cbf_573","grabsample","none",69,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,410,"idexxquantitray","mpn","mpn"
"27","cbf_569","grabsample","none",326,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"28","cbf_574","grabsample","none",169,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"29","cbf_138","grabsample","none",14,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,22,"idexxquantitray","mpn","mpn"
"30","cbf_131","grabsample","none",19,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"31","cbf_125","grabsample","none",24,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
