"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","ceden_4","grabsample","none",130,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,130,"sm9221e","sm9221","mpn",NA,NA,NA,NA
"2","ceden_5","grabsample","none",34,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,130,"sm9221e","sm9221","mpn",NA,NA,NA,NA
"3","ceden_2","grabsample","none",130,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,240,"sm9221e","sm9221","mpn",NA,NA,NA,NA
"4","ceden_1","grabsample","none",300,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,300,"sm9221e","sm9221","mpn",NA,NA,NA,NA
"5","ceden_113","grabsample","none",3076,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,72700,"idexxquantitray","mpn","mpn"
"6","ceden_113","grabsample","none",3076,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,68670,"idexxquantitray","mpn","mpn"
"7","cede_215","grabsample","none",161,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,9804,"idexxquantitray","mpn","mpn"
"8","cede_229","grabsample","none",43520,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,90000,"sm9221e","sm9221","mpn",NA,NA,NA,NA
"9","cede_238","grabsample","none",10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,2359,"idexxquantitray","mpn","mpn"
"10","ceden_113","grabsample","none",24192,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,72700,"idexxquantitray","mpn","mpn"
"11","ceden_113","grabsample","none",24192,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,68670,"idexxquantitray","mpn","mpn"
