"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc"
"1","clcr","clcr_382","2013-03-25","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",1550,"idexxquantitray","mpn","mpn",5200,"epa1600","membranefiltration","membranefiltration"
"2","clcr","clcr_337","2013-01-17","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",1337,"idexxquantitray","mpn","mpn",3000,"epa1600","membranefiltration","membranefiltration"
"3","clcr","clcr_330","2013-08-20","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",916,"idexxquantitray","mpn","mpn",2900,"epa1600","membranefiltration","membranefiltration"
"4","clcr","clcr_310","2013-01-17","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",871,"idexxquantitray","mpn","mpn",2400,"epa1600","membranefiltration","membranefiltration"
"5","clcr","clcr_267","2013-01-17","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",885,"idexxquantitray","mpn","mpn",1478,"epa1600","membranefiltration","membranefiltration"
"6","clcr","clcr_517","2013-08-19","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",11011,"idexxquantitray","mpn","mpn",84000,"epa1600","membranefiltration","membranefiltration"
"7","clcr","clcr_313","2013-03-25","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",1187,"idexxquantitray","mpn","mpn",2400,"epa1600","membranefiltration","membranefiltration"
"8","clcr","clcr_162","2013-03-12","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",765,"idexxquantitray","mpn","mpn",585,"epa1600","membranefiltration","membranefiltration"
"9","clcr","clcr_294","2013-01-17","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",1013,"idexxquantitray","mpn","mpn",2200,"epa1600","membranefiltration","membranefiltration"
"10","clcr","clcr_336","2013-02-08","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",1112,"idexxquantitray","mpn","mpn",3000,"epa1600","membranefiltration","membranefiltration"
"11","clcr","clcr_421","2013-03-25","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",4951,"idexxquantitray","mpn","mpn",8300,"epa1600","membranefiltration","membranefiltration"
"12","clcr","clcr_419","2013-03-25","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",2154,"idexxquantitray","mpn","mpn",7975,"epa1600","membranefiltration","membranefiltration"
"13","clcr","clcr_455","2013-02-26","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",3726,"idexxquantitray","mpn","mpn",11700,"epa1600","membranefiltration","membranefiltration"
"14","clcr","clcr_290","2013-01-17","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",1195,"idexxquantitray","mpn","mpn",2100,"epa1600","membranefiltration","membranefiltration"
"15","clcr","clcr_516","2013-08-19","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",7470,"idexxquantitray","mpn","mpn",67500,"epa1600","membranefiltration","membranefiltration"
"16","clcr","clcr_99","2013-11-21","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",329,"idexxquantitray","mpn","mpn",420,"epa1600","membranefiltration","membranefiltration"
"17","clcr","clcr_385","2013-08-20","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",1555,"idexxquantitray","mpn","mpn",5250,"epa1600","membranefiltration","membranefiltration"
"18","clcr","clcr_260","2013-03-23","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",1184,"idexxquantitray","mpn","mpn",1400,"epa1600","membranefiltration","membranefiltration"
"19","clcr","clcr_220","2013-02-11","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",678,"idexxquantitray","mpn","mpn",1027,"epa1600","membranefiltration","membranefiltration"
"20","clcr","clcr_317","2013-03-25","ga","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Appalachian Piedmont","Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",1282,"idexxquantitray","mpn","mpn",2550,"epa1600","membranefiltration","membranefiltration"
