"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","cmc_4155","grabsample","none",330,"idexxquantitray","mpn","mpn",250,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"2","cmc_4148","grabsample","none",40,"idexxquantitray","mpn","mpn",20,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"3","cmc_4152","grabsample","none",170,"idexxquantitray","mpn","mpn",190,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"4","cmc_4149","grabsample","none",230,"idexxquantitray","mpn","mpn",40,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"5","cmc_4153","grabsample","none",300,"idexxquantitray","mpn","mpn",230,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"6","cmc_4154","grabsample","none",240,"idexxquantitray","mpn","mpn",250,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"7","cmc_4158","grabsample","none",800,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"8","cmc_4156","grabsample","none",480,"idexxquantitray","mpn","mpn",460,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"9","cmc_4157","grabsample","none",340,"idexxquantitray","mpn","mpn",530,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"10","cmc_4150","grabsample","none",300,"idexxquantitray","mpn","mpn",100,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"11","cmc_4151","grabsample","none",240,"idexxquantitray","mpn","mpn",160,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"12","cmc_4147","grabsample","none",60,"idexxquantitray","mpn","mpn",10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"13","cmc_2144","grabsample","none",20,"idexxquantitray","mpn","mpn",30,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"14","cmc_2149","grabsample","none",80,"idexxquantitray","mpn","mpn",40,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"15","cmc_2143","grabsample","none",60,"idexxquantitray","mpn","mpn",20,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"16","cmc_2152","grabsample","none",130,"idexxquantitray","mpn","mpn",50,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"17","cmc_2165","grabsample","none",610,"idexxquantitray","mpn","mpn",240,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"18","cmc_2170","grabsample","none",800,"idexxquantitray","mpn","mpn",350,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"19","cmc_2145","grabsample","none",50,"idexxquantitray","mpn","mpn",30,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"20","cmc_2147","grabsample","none",40,"idexxquantitray","mpn","mpn",40,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"21","cmc_2176","grabsample","none",800,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"22","cmc_2162","grabsample","none",460,"idexxquantitray","mpn","mpn",180,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"23","cmc_2172","grabsample","none",800,"idexxquantitray","mpn","mpn",400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"24","cmc_2156","grabsample","none",220,"idexxquantitray","mpn","mpn",100,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
