"","study_sh","scri_sample_id","date","state","cens.region","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","fc","fc_methodf","fc_methodm","fc_methodc"
"1","ladeq","leau_853","1978-07-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",49,"sm9222e","sm9222","membranefiltration"
"2","ladeq","leau_854","1978-05-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",170,"sm9222e","sm9222","membranefiltration"
"3","ladeq","leau_862","1978-10-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",110,"sm9222e","sm9222","membranefiltration"
"4","ladeq","leau_865","1978-08-15","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",280,"sm9222e","sm9222","membranefiltration"
"5","ladeq","leau_866","1978-09-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",2400,"sm9222e","sm9222","membranefiltration"
"6","ladeq","leau_867","1978-11-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",31,"sm9222e","sm9222","membranefiltration"
"7","ladeq","leau_857","1978-12-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",920,"sm9222e","sm9222","membranefiltration"
"8","ladeq","leau_860","1978-03-06","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",23,"sm9222e","sm9222","membranefiltration"
"9","ladeq","leau_868","1978-06-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",1600,"sm9222e","sm9222","membranefiltration"
"10","ladeq","leau_870","1978-04-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",70,"sm9222e","sm9222","membranefiltration"
"11","ladeq","leau_625","1978-05-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",110,"sm9222e","sm9222","membranefiltration"
"12","ladeq","leau_626","1978-12-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",920,"sm9222e","sm9222","membranefiltration"
"13","ladeq","leau_632","1978-11-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"14","ladeq","leau_633","1978-04-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",13,"sm9222e","sm9222","membranefiltration"
"15","ladeq","leau_635","1978-06-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",540,"sm9222e","sm9222","membranefiltration"
"16","ladeq","leau_639","1978-08-15","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"17","ladeq","leau_641","1978-09-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",540,"sm9222e","sm9222","membranefiltration"
"18","ladeq","leau_648","1978-07-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",49,"sm9222e","sm9222","membranefiltration"
"19","ladeq","leau_649","1978-10-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",46,"sm9222e","sm9222","membranefiltration"
"20","ladeq","leau_340","1978-04-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",9,"sm9222e","sm9222","membranefiltration"
"21","ladeq","leau_341","1978-10-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",350,"sm9222e","sm9222","membranefiltration"
"22","ladeq","leau_365","1978-09-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",2400,"sm9222e","sm9222","membranefiltration"
"23","ladeq","leau_347","1978-12-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",170,"sm9222e","sm9222","membranefiltration"
"24","ladeq","leau_349","1978-11-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",49,"sm9222e","sm9222","membranefiltration"
"25","ladeq","leau_350","1978-03-06","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",22,"sm9222e","sm9222","membranefiltration"
"26","ladeq","leau_352","1978-05-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"27","ladeq","leau_364","1978-08-15","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",170,"sm9222e","sm9222","membranefiltration"
"28","ladeq","leau_348","1978-07-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",49,"sm9222e","sm9222","membranefiltration"
"29","ladeq","leau_356","1978-06-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",130,"sm9222e","sm9222","membranefiltration"
"30","ladeq","leau_53","1978-05-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",330,"sm9222e","sm9222","membranefiltration"
"31","ladeq","leau_54","1978-06-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"32","ladeq","leau_55","1978-07-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",330,"sm9222e","sm9222","membranefiltration"
"33","ladeq","leau_56","1978-08-15","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",230,"sm9222e","sm9222","membranefiltration"
"34","ladeq","leau_57","1978-10-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",330,"sm9222e","sm9222","membranefiltration"
"35","ladeq","leau_52","1978-04-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",220,"sm9222e","sm9222","membranefiltration"
"36","ladeq","leau_59","1978-12-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",130,"sm9222e","sm9222","membranefiltration"
"37","ladeq","leau_58","1978-11-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",2300,"sm9222e","sm9222","membranefiltration"
"38","ladeq","leau_852","1979-05-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"39","ladeq","leau_856","1979-03-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222e","sm9222","membranefiltration"
"40","ladeq","leau_864","1979-04-16","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",22,"sm9222e","sm9222","membranefiltration"
"41","ladeq","leau_872","1979-10-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",490,"sm9222e","sm9222","membranefiltration"
"42","ladeq","leau_877","1979-08-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"43","ladeq","leau_882","1979-06-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",540,"sm9222e","sm9222","membranefiltration"
"44","ladeq","leau_855","1979-01-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",2400,"sm9222e","sm9222","membranefiltration"
"45","ladeq","leau_869","1979-11-05","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",130,"sm9222e","sm9222","membranefiltration"
"46","ladeq","leau_871","1979-09-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",220,"sm9222e","sm9222","membranefiltration"
"47","ladeq","leau_875","1979-02-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",130,"sm9222e","sm9222","membranefiltration"
"48","ladeq","leau_880","1979-07-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",920,"sm9222e","sm9222","membranefiltration"
"49","ladeq","leau_627","1979-02-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",130,"sm9222e","sm9222","membranefiltration"
"50","ladeq","leau_628","1979-04-16","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",13,"sm9222e","sm9222","membranefiltration"
"51","ladeq","leau_629","1979-01-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",2400,"sm9222e","sm9222","membranefiltration"
"52","ladeq","leau_631","1979-05-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",280,"sm9222e","sm9222","membranefiltration"
"53","ladeq","leau_636","1979-07-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",2400,"sm9222e","sm9222","membranefiltration"
"54","ladeq","leau_637","1979-09-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"55","ladeq","leau_638","1979-10-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",130,"sm9222e","sm9222","membranefiltration"
"56","ladeq","leau_644","1979-08-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",130,"sm9222e","sm9222","membranefiltration"
"57","ladeq","leau_645","1979-11-05","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",540,"sm9222e","sm9222","membranefiltration"
"58","ladeq","leau_653","1979-06-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"59","ladeq","leau_643","1979-03-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",50,"sm9222e","sm9222","membranefiltration"
"60","ladeq","leau_339","1979-02-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",130,"sm9222e","sm9222","membranefiltration"
"61","ladeq","leau_342","1979-01-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",540,"sm9222e","sm9222","membranefiltration"
"62","ladeq","leau_343","1979-04-16","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",4,"sm9222e","sm9222","membranefiltration"
"63","ladeq","leau_344","1979-06-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",170,"sm9222e","sm9222","membranefiltration"
"64","ladeq","leau_345","1979-08-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",240,"sm9222e","sm9222","membranefiltration"
"65","ladeq","leau_346","1979-10-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",110,"sm9222e","sm9222","membranefiltration"
"66","ladeq","leau_351","1979-09-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",240,"sm9222e","sm9222","membranefiltration"
"67","ladeq","leau_359","1979-03-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222e","sm9222","membranefiltration"
"68","ladeq","leau_360","1979-05-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",220,"sm9222e","sm9222","membranefiltration"
"69","ladeq","leau_367","1979-11-05","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",70,"sm9222e","sm9222","membranefiltration"
"70","ladeq","leau_379","1979-07-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",220,"sm9222e","sm9222","membranefiltration"
"71","ladeq","leau_63","1979-04-17","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",230,"sm9222e","sm9222","membranefiltration"
"72","ladeq","leau_64","1979-05-15","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",23,"sm9222e","sm9222","membranefiltration"
"73","ladeq","leau_65","1979-06-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",23,"sm9222e","sm9222","membranefiltration"
"74","ladeq","leau_67","1979-08-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",23,"sm9222e","sm9222","membranefiltration"
"75","ladeq","leau_68","1979-09-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",8,"sm9222e","sm9222","membranefiltration"
"76","ladeq","leau_69","1979-10-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",23,"sm9222e","sm9222","membranefiltration"
"77","ladeq","leau_70","1979-11-06","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"78","ladeq","leau_71","1979-12-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"79","ladeq","leau_61","1979-02-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",790,"sm9222e","sm9222","membranefiltration"
"80","ladeq","leau_66","1979-07-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",23,"sm9222e","sm9222","membranefiltration"
"81","ladeq","leau_60","1979-01-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",4900,"sm9222e","sm9222","membranefiltration"
"82","ladeq","leau_62","1979-03-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"83","ladeq","leau_858","1980-08-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",70,"sm9222e","sm9222","membranefiltration"
"84","ladeq","leau_859","1980-11-18","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",110,"sm9222e","sm9222","membranefiltration"
"85","ladeq","leau_863","1980-10-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",49,"sm9222e","sm9222","membranefiltration"
"86","ladeq","leau_874","1980-09-16","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222e","sm9222","membranefiltration"
"87","ladeq","leau_630","1980-09-16","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",2,"sm9222e","sm9222","membranefiltration"
"88","ladeq","leau_640","1980-08-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",11,"sm9222e","sm9222","membranefiltration"
"89","ladeq","leau_646","1980-10-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"90","ladeq","leau_634","1980-11-18","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",49,"sm9222e","sm9222","membranefiltration"
"91","ladeq","leau_354","1980-09-16","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"92","ladeq","leau_355","1980-10-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"93","ladeq","leau_358","1980-08-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222e","sm9222","membranefiltration"
"94","ladeq","leau_353","1980-11-18","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",170,"sm9222e","sm9222","membranefiltration"
"95","ladeq","leau_72","1980-02-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",4900,"sm9222e","sm9222","membranefiltration"
"96","ladeq","leau_73","1980-03-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",5,"sm9222e","sm9222","membranefiltration"
"97","ladeq","leau_74","1980-04-15","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",2300,"sm9222e","sm9222","membranefiltration"
"98","ladeq","leau_75","1980-05-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"99","ladeq","leau_76","1980-06-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",49,"sm9222e","sm9222","membranefiltration"
