"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","21flmcgl","fl_644","2003-12-10","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",2.5,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","21flmcgl","fl_351","2003-10-13","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",5,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","21flmcgl","fl_349","2003-11-24","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",157.5,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","21flmcgl","fl_770","2003-09-22","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",23.75,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","21flmcgl","fl_627","2003-12-10","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",5,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","21flmcgl","fl_542","2003-10-13","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",15,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","21flmcgl","fl_1083","2003-11-24","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",22.5,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","21flmcgl","fl_633","2003-11-09","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",80,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","21flmcgl","fl_727","2003-10-21","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",20,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","21flmcgl","fl_1141","2003-12-14","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",390,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","21flmcgl","fl_1031","2003-09-15","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",35,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","21flmcgl","fl_647","2003-12-03","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",80,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","21flmcgl","fl_350","2004-11-28","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",16.66667,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","21flmcgl","fl_1256","2004-10-03","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",13.33333,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","21flmcgl","fl_1147","2004-09-12","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",336.66667,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","21flmcgl","fl_370","2004-01-14","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",30,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","21flmcgl","fl_1208","2004-02-15","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",110,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","21flmcgl","fl_628","2004-07-13","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",3.33333,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","21flmcgl","fl_123","2004-04-11","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",76.666665,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","21flmcgl","fl_1234","2004-12-12","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",36.66667,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","21flmcgl","fl_857","2004-05-19","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",0,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","21flmcgl","fl_1065","2004-06-08","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",0,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","21flmcgl","fl_800","2004-05-19","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",0,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","21flmcgl","fl_1094","2004-06-08","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",0,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","21flmcgl","fl_687","2004-08-01","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",10,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","21flmcgl","fl_408","2004-12-12","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",30,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","21flmcgl","fl_1122","2004-11-28","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",150,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","21flmcgl","fl_1244","2004-09-12","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",43.33333,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","21flmcgl","fl_224","2004-01-14","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",10,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","21flmcgl","fl_357","2004-04-11","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",3.33333,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","21flmcgl","fl_1317","2004-10-03","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",70,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","21flmcgl","fl_1002","2004-05-19","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",0,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","21flmcgl","fl_383","2004-06-09","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",120,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","21flmcgl","fl_1392","2004-07-18","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",20,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","21flmcgl","fl_1198","2004-10-10","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",30,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","21flmcgl","fl_1085","2004-12-19","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",100,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","21flmcgl","fl_1070","2004-02-18","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",270,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","21flmcgl","fl_1398","2004-07-18","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",45,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","21flmcgl","fl_154","2004-05-19","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",16.66667,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","21flmcgl","fl_1399","2004-11-10","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",50,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","21flmcgl","fl_516","2004-01-21","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",127.5,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","21flmcgl","fl_1011","2004-03-16","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",45,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","21flmcgl","fl_1367","2004-09-08","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","river","river","surfacewater","stream/river","grabsample",155,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","21flmcgl","fl_994","2005-08-10","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",16.66667,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","21flmcgl","fl_614","2005-05-09","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",23.33333,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","21flmcgl","fl_1263","2005-04-26","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Florida Peninsula","East Gulf Coastal Plain","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample",3.33333,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
