"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","21flwqawqx","batchf_253662","2017-05-23","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",410.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","21flwqawqx","batchf_253658","2017-06-25","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",980,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","21flwqawqx","batchf_253649","2017-05-02","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",194,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","21flwqawqx","batchf_253660","2017-04-25","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",169.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","21flwqawqx","batchf_253654","2017-10-03","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",154,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","21flwqawqx","batchf_253661","2017-06-12","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",172.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","21flwqawqx","batchf_284909","2017-03-28","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",50.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","21flwqawqx","batchf_284903","2017-05-02","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",649,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","21flwqawqx","batchf_284910","2017-06-12","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",105.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","21flwqawqx","batchf_284907","2017-10-03","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",201,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","21flwqawqx","batchf_284908","2017-05-23","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",156.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","21flwqawqx","batchf_253650","2018-04-11","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",28.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","21flwqawqx","batchf_253653","2018-09-25","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",101,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","21flwqawqx","batchf_253659","2018-08-28","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",1550,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","21flwqawqx","batchf_284901","2018-04-11","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",79.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","21flwqawqx","batchf_284906","2018-09-25","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",236,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","21flwqawqx","batchf_284905","2018-08-28","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",179,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","21flwqawqx","batchf_253655","2019-10-01","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",167,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","21flwqawqx","batchf_253657","2019-12-10","fl","South Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",504,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
