"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","21mswqwqx","batchb_30835","2009-06-03","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",173,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"2","21mswqwqx","batchb_30806","2009-01-12","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",145,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"3","21mswqwqx","batchb_30798","2009-06-17","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",115,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"4","21mswqwqx","batchb_30830","2009-12-27","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",123,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"5","21mswqwqx","batchb_30777","2009-01-21","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",70,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"6","21mswqwqx","batchb_30773","2009-01-25","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",58,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"7","21mswqwqx","batchb_30812","2009-01-14","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",77,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"8","21mswqwqx","batchb_30813","2009-01-28","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",93,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"9","21mswqwqx","batchb_30851","2009-06-22","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",300,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"10","21mswqwqx","batchb_30785","2009-06-15","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",110,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"11","21mswqwqx","batchb_30854","2009-06-08","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",390,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"12","21mswqwqx","batchb_122159","2009-06-08","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",77,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"13","21mswqwqx","batchb_122162","2009-01-14","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",117,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"14","21mswqwqx","batchb_122168","2009-01-28","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",60,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"15","21mswqwqx","batchb_122155","2009-06-22","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",95,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"16","21mswqwqx","batchb_122132","2009-01-25","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",55,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"17","21mswqwqx","batchb_122142","2009-01-21","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",56,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"18","21mswqwqx","batchb_122187","2009-06-17","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",115,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"19","21mswqwqx","batchb_122167","2009-06-15","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",117,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"20","21mswqwqx","batchb_122184","2009-12-27","ms","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Lower Mississippi","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Lower Mississippi Region","Delta","Southeast","freshwater","river","river","surfacewater","stream/river",80,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
