"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","21ndhdwq","batchf_245413","2001-07-09","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"2","21ndhdwq","batchf_245414","2001-05-21","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"3","21ndhdwq","batchf_245412","2001-09-24","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",30,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"4","21ndhdwq","batchf_245420","2001-08-13","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",50,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"5","21ndhdwq","batchf_245410","2002-08-12","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",10,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"6","21ndhdwq","batchf_245409","2002-09-15","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",10,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"7","21ndhdwq","batchf_245417","2002-07-08","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",60,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"8","21ndhdwq","batchf_245423","2002-06-03","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",0.5,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"9","21ndhdwq","batchf_245424","2003-08-18","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",0.5,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"10","21ndhdwq","batchf_245411","2003-06-03","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",10,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"11","21ndhdwq","batchf_245421","2003-07-07","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",190,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"12","21ndhdwq","batchf_245415","2003-09-28","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",30,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"13","21ndhdwq","batchf_245422","2004-11-02","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",400,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"14","21ndhdwq","batchf_245419","2004-06-27","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",50,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"15","21ndhdwq","batchf_245418","2004-08-09","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",30,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"16","21ndhdwq","batchf_245416","2004-05-17","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",60,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"17","21ndhdwq","batchf_358053","2006-09-18","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Northern Tallgrass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",80,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"18","21ndhdwq","batchf_212684","2001-05-22","nd","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Dakota Mixed-Grass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",0.5,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"19","21ndhdwq","batchf_212682","2001-08-14","nd","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Dakota Mixed-Grass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",280,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"20","21ndhdwq","batchf_212677","2001-07-10","nd","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Dakota Mixed-Grass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",70,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"21","21ndhdwq","batchf_212683","2002-07-09","nd","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Dakota Mixed-Grass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",390,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"22","21ndhdwq","batchf_212674","2002-06-04","nd","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Dakota Mixed-Grass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",50,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"23","21ndhdwq","batchf_212671","2003-07-07","nd","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","English - Winnipeg Lakes","Dakota Mixed-Grass Prairie","large lakes","Temperate Grasslands, Savannas and Shrublands","Souris-Red-Rainy Region","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",100,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
