"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","21nmexwqx","batch1_und100_50179","2017-10-30","co","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Southern Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",14.64,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"2","21nmexwqx","batch1_und100_50186","2017-09-18","co","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Southern Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",27.51,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"3","21nmexwqx","batch1_und100_50180","2017-05-15","co","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Southern Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",49.405,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"4","21nmexwqx","batch1_und100_50184","2017-04-03","co","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Southern Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",6.32,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"5","21nmexwqx","batch1_und100_50181","2018-05-22","co","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Southern Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",20.975,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"6","21nmexwqx","batch1_und100_50187","2018-09-11","co","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Southern Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",579.43,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"7","21nmexwqx","batch1_und100_50182","2018-04-03","co","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Southern Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",2.02,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"8","21nmexwqx","batch1_und100_50183","2018-07-23","co","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Southern Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",72.27,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"9","21nmexwqx","batch1_und100_50185","2018-10-08","co","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Southern Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",435.17,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"10","21nmexwqx","batch1_und100_50163","2014-07-15","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"11","21nmexwqx","batch1_und100_50164","2014-06-10","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",72.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"12","21nmexwqx","batch1_und100_50168","2014-08-11","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",77.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"13","21nmexwqx","batch1_und100_50170","2014-04-28","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",29.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"14","21nmexwqx","batch1_und100_50165","2014-05-12","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",101.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"15","21nmexwqx","batch1_und100_50167","2014-09-01","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",248.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"16","21nmexwqx","batch1_und100_50166","2014-10-06","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",148.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"17","21nmexwqx","batch1_und100_50169","2014-03-18","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",17.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"18","21nmexwqx","batch1_und100_50220","2014-05-11","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",48.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"19","21nmexwqx","batch1_und100_50225","2014-10-19","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",488.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"20","21nmexwqx","batch1_und100_50222","2014-10-06","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",198.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"21","21nmexwqx","batch1_und100_50221","2014-06-10","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",93.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"22","21nmexwqx","batch1_und100_50227","2014-03-18","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",29.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"23","21nmexwqx","batch1_und100_50228","2014-04-28","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",38.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"24","21nmexwqx","batch1_und100_50226","2014-08-11","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",90.35,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"25","21nmexwqx","batch1_und100_50223","2014-07-13","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",285.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"26","21nmexwqx","batch1_und100_50224","2014-09-01","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",298.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"27","21nmexwqx","batch1_und100_50144","2014-06-10","nm","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Rio Grande - Bravo","Arizona-New Mexico Mountains","temperate upland rivers","Temperate Conifer Forests","Rio Grande Region","Mountains","South Central US","freshwater","river","river","surfacewater","stream/river",54.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
