"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","31delrbc","batchb_92584","1999-08-03","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","brackish/saltwater","tidalstream","tidalstream","surfacewater","oceanestuarytidalriver",4,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"2","31delrbc","batchb_92593","1999-05-31","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","brackish/saltwater","tidalstream","tidalstream","surfacewater","oceanestuarytidalriver",4,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"3","31delrbc","batchb_92578","1999-07-18","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","brackish/saltwater","tidalstream","tidalstream","surfacewater","oceanestuarytidalriver",6,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"4","31delrbc","batchb_92573","1999-03-28","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","brackish/saltwater","tidalstream","tidalstream","surfacewater","oceanestuarytidalriver",5,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"5","31delrbc","batchb_92579","1999-05-04","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","brackish/saltwater","tidalstream","tidalstream","surfacewater","oceanestuarytidalriver",6,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"6","31delrbc","batchb_92568","1999-07-13","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","brackish/saltwater","tidalstream","tidalstream","surfacewater","oceanestuarytidalriver",4,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"7","31delrbc","batchb_92574","1999-04-18","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","brackish/saltwater","tidalstream","tidalstream","surfacewater","oceanestuarytidalriver",5,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"8","31delrbc","batchb_92622","1999-07-13","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","brackish/saltwater","tidalstream","tidalstream","surfacewater","oceanestuarytidalriver",31,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"9","31delrbc","batchb_86292","1999-07-18","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","brackish/saltwater","tidalstream","tidalstream","surfacewater","oceanestuarytidalriver",9,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"10","31delrbc","batchb_86300","1999-04-18","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","brackish/saltwater","tidalstream","tidalstream","surfacewater","oceanestuarytidalriver",7,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
