"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","31drbcsp","batch2_315794","2002-05-20","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river",48,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"2","31drbcsp","batch2_315804","2002-08-05","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river",4,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"3","31drbcsp","batch2_315782","2002-05-06","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river",16,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"4","31drbcsp","batch2_315797","2002-07-22","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river",4,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"5","31drbcsp","batch2_315784","2002-06-17","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river",52,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"6","31drbcsp","batch2_315781","2002-07-08","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river",4,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"7","31drbcsp","batch2_315793","2002-08-19","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river",28,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"8","31drbcsp","batch2_315789","2002-09-09","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river",12,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"9","31drbcsp","batch2_315786","2002-06-04","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river",18,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"10","31drbcsp","batch2_315791","2002-09-23","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river",16,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"11","31drbcsp","batch2_315783","2002-09-23","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river",28,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"12","31drbcsp","batch1_und100_67516","2002-05-20","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",76,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"13","31drbcsp","batch1_und100_67521","2002-06-04","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",32,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"14","31drbcsp","batch1_und100_67519","2002-06-17","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",32,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"15","31drbcsp","batch1_und100_67529","2002-07-22","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",64,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
