"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","bmicwqx","mi_9431","2008-08-13","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",68.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"2","bmicwqx","mi_9020","2008-06-25","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"3","bmicwqx","mi_9182","2008-08-06","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",201.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"4","bmicwqx","mi_9367","2008-07-30","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",61.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"5","bmicwqx","mi_9547","2008-07-23","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",21.55,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"6","bmicwqx","mi_9716","2008-06-04","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"7","bmicwqx","mi_8843","2008-06-11","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"8","bmicwqx","mi_8983","2008-05-28","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"9","bmicwqx","mi_8940","2008-06-18","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"10","bmicwqx","mi_9904","2008-08-20","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",17.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"11","bmicwqx","mi_9113","2008-03-15","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",7.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"12","bmicwqx","mi_8898","2008-05-21","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",6.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"13","bmicwqx","mi_9987","2008-07-16","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",7.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"14","bmicwqx","mi_9095","2008-07-02","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"15","bmicwqx","mi_9330","2008-07-09","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",50.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"16","bmicwqx","mi_8959","2008-08-27","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",6.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"17","bmicwqx","mi_9117","2008-06-25","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",4.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"18","bmicwqx","mi_9642","2008-08-13","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",46.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"19","bmicwqx","mi_9302","2008-06-11","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",10.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"20","bmicwqx","mi_9423","2008-07-16","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",7.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"21","bmicwqx","mi_9357","2008-05-28","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"22","bmicwqx","mi_9274","2008-03-15","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"23","bmicwqx","mi_9144","2008-07-23","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",54.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"24","bmicwqx","mi_9666","2008-06-18","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"25","bmicwqx","mi_9631","2008-07-09","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",49.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"26","bmicwqx","mi_8855","2008-08-06","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",178.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"27","bmicwqx","mi_9002","2008-07-30","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",62.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"28","bmicwqx","mi_9542","2008-07-02","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"29","bmicwqx","mi_9133","2008-05-21","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",35.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"30","bmicwqx","mi_8832","2008-08-20","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",9.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"31","bmicwqx","mi_9708","2008-08-27","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",9.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"32","bmicwqx","mi_9120","2008-06-04","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"33","bmicwqx","mi_8999","2008-06-18","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",4.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"34","bmicwqx","mi_8955","2008-07-23","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",201.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"35","bmicwqx","mi_9948","2008-07-30","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",50.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"36","bmicwqx","mi_9192","2008-08-06","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",307.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"37","bmicwqx","mi_8817","2008-08-13","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",39.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"38","bmicwqx","mi_9961","2008-05-21","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",8.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"39","bmicwqx","mi_9444","2008-07-16","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",6.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"40","bmicwqx","mi_9410","2008-07-09","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",40.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"41","bmicwqx","mi_9415","2008-06-04","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",8.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"42","bmicwqx","mi_8876","2008-08-07","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",117.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"43","bmicwqx","mi_9637","2008-08-20","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",48,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"44","bmicwqx","mi_8919","2008-05-28","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"45","bmicwqx","mi_9193","2008-08-27","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",21.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"46","bmicwqx","mi_9237","2008-06-25","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",11,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"47","bmicwqx","mi_9496","2008-03-15","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",51.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"48","bmicwqx","mi_8874","2008-07-02","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"49","bmicwqx","mi_9067","2008-06-11","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",70.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"50","bmicwqx","mi_8916","2008-08-07","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",71.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"51","bmicwqx","mi_9504","2008-05-21","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",17.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"52","bmicwqx","mi_8847","2008-06-18","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",9.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"53","bmicwqx","mi_9313","2008-08-20","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",17.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"54","bmicwqx","mi_9450","2008-07-02","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"55","bmicwqx","mi_9341","2008-07-16","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"56","bmicwqx","mi_9991","2008-03-15","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"57","bmicwqx","mi_9145","2008-03-15","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"58","bmicwqx","mi_9472","2008-07-02","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"59","bmicwqx","mi_9256","2008-05-28","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
