"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","coeomahawqx","batchf_265657","2018-03-13","ia","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Upper Midwest","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",13.4,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"2","coeomahawqx","batchf_265667","2018-06-12","ia","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Upper Midwest","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",648.8,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"3","coeomahawqx","batchf_265661","2018-04-30","ia","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Upper Midwest","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",22.6,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"4","coeomahawqx","batchf_265665","2018-07-11","ia","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Upper Midwest","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",68.3,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"5","coeomahawqx","batchf_265663","2018-10-23","ia","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Upper Midwest","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",25,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"6","coeomahawqx","batchf_265662","2018-01-31","ia","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Upper Midwest","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",24.3,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"7","coeomahawqx","batchf_265664","2018-04-04","ia","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Upper Midwest","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",34.5,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"8","coeomahawqx","batchf_265658","2018-02-21","ia","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Upper Midwest","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",16,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"9","coeomahawqx","batchf_265668","2018-09-04","ia","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Upper Midwest","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",2419.6,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
"10","coeomahawqx","batchf_265660","2018-12-10","ia","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Upper Midwest","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",17.5,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA
