"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","epar7wqx","batch2_lt100_16553","2015-09-20","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river",1046.2,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"2","epar7wqx","batch2_lt100_16554","2015-06-07","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river",275,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"3","epar7wqx","batch2_lt100_16455","2015-06-07","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",411,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"4","epar7wqx","batch2_lt100_16454","2015-09-20","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",1789,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"5","epar7wqx","batch2_lt100_18208","2015-06-07","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",644,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"6","epar7wqx","batch2_lt100_18207","2015-09-20","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",547.5,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"7","epar7wqx","batch2_lt100_16456","2015-09-20","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",336.1,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"8","epar7wqx","batch2_lt100_16457","2015-06-07","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",419.5,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"9","epar7wqx","batch2_lt100_16551","2015-09-20","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river",1438.7,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"10","epar7wqx","batch2_lt100_16552","2015-06-07","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river",638,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
