"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","fcpotawatomiwqx","batch_716","2006-12-19","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river",41,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"2","fcpotawatomiwqx","batch_728","2006-07-26","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river",237,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"3","fcpotawatomiwqx","batch_658","2006-09-25","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river",45,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"4","fcpotawatomiwqx","batch_719","2006-09-25","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river",50,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"5","fcpotawatomiwqx","batch_675","2006-08-29","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river",118,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"6","fcpotawatomiwqx","batch_640","2006-11-28","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river",21,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"7","fcpotawatomiwqx","batch_702","2006-10-29","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river",14,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"8","fcpotawatomiwqx","batch_705","2006-11-28","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river",18,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"9","fcpotawatomiwqx","batch_661","2006-12-19","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river",50,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"10","fcpotawatomiwqx","batch_646","2006-06-21","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river",24,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
