"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc"
"1","hbmiwqx","batch_85075","1998-08-24","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",160,"idexxquantitray","mpn","mpn"
"2","hbmiwqx","batch_85062","1998-09-01","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",0,"idexxquantitray","mpn","mpn"
"3","hbmiwqx","batch_85071","1998-07-06","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",80,"idexxquantitray","mpn","mpn"
"4","hbmiwqx","batch_85069","1998-08-17","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",60,"idexxquantitray","mpn","mpn"
"5","hbmiwqx","batch_85063","1998-07-28","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",0,"idexxquantitray","mpn","mpn"
"6","hbmiwqx","batch_85078","1998-07-13","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",800,"idexxquantitray","mpn","mpn"
"7","hbmiwqx","batch_85079","1998-08-10","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",42800,"idexxquantitray","mpn","mpn"
"8","hbmiwqx","batch_85072","1998-06-30","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",100,"idexxquantitray","mpn","mpn"
"9","hbmiwqx","batch_84921","1998-08-17","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",0,"idexxquantitray","mpn","mpn"
"10","hbmiwqx","batch_84950","1998-09-01","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",20,"idexxquantitray","mpn","mpn"
"11","hbmiwqx","batch_84999","1998-08-10","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",5200,"idexxquantitray","mpn","mpn"
"12","hbmiwqx","batch_84993","1998-08-24","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",100,"idexxquantitray","mpn","mpn"
"13","hbmiwqx","batch_84951","1998-07-06","me","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Northern Appalachian / Acadian","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river",20,"idexxquantitray","mpn","mpn"
