"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","hvtepawqx","batchf_164644","2017-07-12","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"2","hvtepawqx","batchf_164651","2017-08-01","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",4.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"3","hvtepawqx","batchf_164645","2017-07-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",4.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"4","hvtepawqx","batchf_164648","2017-07-26","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"5","hvtepawqx","batchf_164642","2017-06-21","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",9.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"6","hvtepawqx","batchf_164646","2017-09-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"7","hvtepawqx","batchf_164643","2017-06-28","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",5.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"8","hvtepawqx","batchf_164652","2017-08-23","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",8.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"9","hvtepawqx","batchf_164650","2017-09-19","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",38.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"10","hvtepawqx","batchf_164647","2017-07-19","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"11","hvtepawqx","batchf_164653","2017-08-16","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",8.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
