"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","ideqwqx","batch_146476","2000-10-10","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,46,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"2","ideqwqx","batch_146657","2001-09-10","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,218,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"3","ideqwqx","batch_146521","2001-04-08","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,11,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"4","ideqwqx","batch_146564","2001-05-13","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,76,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"5","ideqwqx","batch_146576","2001-01-08","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,132,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"6","ideqwqx","batch_146520","2001-03-13","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"7","ideqwqx","batch_146530","2001-11-18","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,18,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"8","ideqwqx","batch_146609","2001-07-09","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,2300,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"9","ideqwqx","batch_146533","2001-06-19","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,21,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"10","ideqwqx","batch_146605","2001-08-12","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,491,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"11","ideqwqx","batch_146440","2001-11-18","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"12","ideqwqx","batch_146445","2001-06-19","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,14,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"13","ideqwqx","batch_146510","2001-07-09","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,345,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"14","ideqwqx","batch_146443","2001-04-08","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,11,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"15","ideqwqx","batch_146494","2001-08-12","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,110,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"16","ideqwqx","batch_146511","2001-05-13","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,464,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"17","ideqwqx","batch_146628","2002-10-22","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,11,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"18","ideqwqx","batch_146631","2002-12-16","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,18,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"19","ideqwqx","batch_146625","2002-11-24","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"20","ideqwqx","batch_146551","2002-10-22","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,43,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"21","ideqwqx","batch_146567","2002-04-10","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,83,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"22","ideqwqx","batch_146547","2002-08-19","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,38,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"23","ideqwqx","batch_146575","2002-01-08","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,132,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"24","ideqwqx","batch_146561","2002-02-18","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,64,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"25","ideqwqx","batch_146601","2002-09-11","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"26","ideqwqx","batch_146527","2002-01-16","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",NA,14,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
