"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc"
"1","instor","batchf_286590","2004-06-13","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Teays - Old Ohio","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Ohio Region","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",2419.2,"idexxquantitray","mpn","mpn"
"2","instor","batchf_286582","2004-06-27","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Teays - Old Ohio","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Ohio Region","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",52,"idexxquantitray","mpn","mpn"
"3","instor","batchf_286584","2004-06-06","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Teays - Old Ohio","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Ohio Region","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",185,"idexxquantitray","mpn","mpn"
"4","instor","batchf_286588","2004-07-04","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Teays - Old Ohio","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Ohio Region","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",435.2,"idexxquantitray","mpn","mpn"
"5","instor","batchf_286586","2004-06-20","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Teays - Old Ohio","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Ohio Region","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",238.2,"idexxquantitray","mpn","mpn"
"6","instor","batchf_162035","2000-06-26","in","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Laurentian Great Lakes","North Central Tillplain","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",1986.28,"idexxquantitray","mpn","mpn"
"7","instor","batchf_162037","2000-06-11","in","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Laurentian Great Lakes","North Central Tillplain","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",2419.17,"idexxquantitray","mpn","mpn"
"8","instor","batchf_162033","2000-06-18","in","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Laurentian Great Lakes","North Central Tillplain","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",1789,"idexxquantitray","mpn","mpn"
"9","instor","batchf_200821","2000-06-18","in","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Laurentian Great Lakes","North Central Tillplain","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",1137,"idexxquantitray","mpn","mpn"
"10","instor","batchf_200819","2000-07-09","in","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Laurentian Great Lakes","North Central Tillplain","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",1119.85,"idexxquantitray","mpn","mpn"
