"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc"
"1","longtomwc","batchf_200832","1999-09-01","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",11,"idexxquantitray","mpn","mpn"
"2","longtomwc","batchf_200857","1999-11-14","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",178,"idexxquantitray","mpn","mpn"
"3","longtomwc","batchf_200855","1999-10-26","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",124,"idexxquantitray","mpn","mpn"
"4","longtomwc","batchf_200841","2000-02-09","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",18,"idexxquantitray","mpn","mpn"
"5","longtomwc","batchf_200840","2000-12-03","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",16,"idexxquantitray","mpn","mpn"
"6","longtomwc","batchf_200848","2000-04-25","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",35,"idexxquantitray","mpn","mpn"
"7","longtomwc","batchf_200858","2000-05-10","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",344,"idexxquantitray","mpn","mpn"
"8","longtomwc","batchf_200833","2000-11-26","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",12,"idexxquantitray","mpn","mpn"
"9","longtomwc","batchf_200842","2000-09-11","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",19,"idexxquantitray","mpn","mpn"
"10","longtomwc","batchf_200839","2000-09-10","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",16,"idexxquantitray","mpn","mpn"
"11","longtomwc","batchf_200837","2000-05-22","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",14,"idexxquantitray","mpn","mpn"
