"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc"
"1","lswcdwqx","batchf_168979","2011-09-25","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",210,"idexxquantitray","mpn","mpn"
"2","lswcdwqx","batchf_168956","2011-11-20","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",34,"idexxquantitray","mpn","mpn"
"3","lswcdwqx","batchf_168965","2011-10-23","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",50,"idexxquantitray","mpn","mpn"
"4","lswcdwqx","batchf_168954","2011-12-18","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",33,"idexxquantitray","mpn","mpn"
"5","lswcdwqx","batchf_168972","2011-08-29","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",73,"idexxquantitray","mpn","mpn"
"6","lswcdwqx","batchf_168975","2012-05-20","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",86,"idexxquantitray","mpn","mpn"
"7","lswcdwqx","batchf_168935","2012-02-26","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",6.3,"idexxquantitray","mpn","mpn"
"8","lswcdwqx","batchf_168939","2012-03-25","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",8.55,"idexxquantitray","mpn","mpn"
"9","lswcdwqx","batchf_168960","2012-08-19","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",41,"idexxquantitray","mpn","mpn"
"10","lswcdwqx","batchf_168981","2012-11-18","or","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Columbia Unglaciated","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",330,"idexxquantitray","mpn","mpn"
