"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","lumminsnwqx","batch_1041","2007-10-25","wa","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Alaska & Canada Pacific Coastal","North Cascades","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",8,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"2","lumminsnwqx","batch_1277","2007-04-16","wa","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Alaska & Canada Pacific Coastal","North Cascades","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",35,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"3","lumminsnwqx","batch_1426","2007-04-26","wa","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Alaska & Canada Pacific Coastal","North Cascades","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",120,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"4","lumminsnwqx","batch_1359","2007-06-25","wa","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Alaska & Canada Pacific Coastal","North Cascades","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",60,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"5","lumminsnwqx","batch_1366","2007-07-05","wa","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Alaska & Canada Pacific Coastal","North Cascades","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",64,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"6","lumminsnwqx","batch_1372","2007-08-06","wa","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Alaska & Canada Pacific Coastal","North Cascades","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",68,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"7","lumminsnwqx","batch_1306","2007-06-05","wa","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Alaska & Canada Pacific Coastal","North Cascades","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",42,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"8","lumminsnwqx","batch_1360","2007-04-26","wa","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Alaska & Canada Pacific Coastal","North Cascades","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",60,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"9","lumminsnwqx","batch_1407","2007-12-05","wa","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Alaska & Canada Pacific Coastal","North Cascades","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",94,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"10","lumminsnwqx","batch_1455","2007-10-01","wa","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Alaska & Canada Pacific Coastal","North Cascades","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",240,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
