"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc"
"1","mec","batch1_und100_37426","2010-08-23","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",233,"idexxquantitray","mpn","mpn"
"2","mec","batch1_und100_37431","2010-10-25","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",650,"idexxquantitray","mpn","mpn"
"3","mec","batch1_und100_37419","2010-08-15","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",63,"idexxquantitray","mpn","mpn"
"4","mec","batch1_und100_37429","2010-10-04","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",341,"idexxquantitray","mpn","mpn"
"5","mec","batch1_und100_37433","2010-09-20","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",1198,"idexxquantitray","mpn","mpn"
"6","mec","batch1_und100_37423","2010-09-06","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",108,"idexxquantitray","mpn","mpn"
"7","mec","batch1_und100_37417","2010-08-09","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",62,"idexxquantitray","mpn","mpn"
"8","mec","batch1_und100_37348","2010-10-25","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",2187,"idexxquantitray","mpn","mpn"
"9","mec","batch1_und100_37347","2010-09-20","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",1137,"idexxquantitray","mpn","mpn"
"10","mec","batch1_und100_37332","2010-08-15","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",41,"idexxquantitray","mpn","mpn"
"11","mec","batch1_und100_37341","2010-08-23","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",201,"idexxquantitray","mpn","mpn"
"12","mec","batch1_und100_37342","2010-09-06","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",201,"idexxquantitray","mpn","mpn"
"13","mec","batch1_und100_37335","2010-08-09","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",74,"idexxquantitray","mpn","mpn"
"14","mec","batch1_und100_37340","2010-10-04","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",160,"idexxquantitray","mpn","mpn"
"15","mec","batch1_und100_37422","2011-09-05","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",97,"idexxquantitray","mpn","mpn"
"16","mec","batch1_und100_37428","2011-10-03","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",315,"idexxquantitray","mpn","mpn"
"17","mec","batch1_und100_37421","2011-08-22","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",86,"idexxquantitray","mpn","mpn"
"18","mec","batch1_und100_37427","2011-04-04","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",295,"idexxquantitray","mpn","mpn"
"19","mec","batch1_und100_37432","2011-10-18","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",717,"idexxquantitray","mpn","mpn"
"20","mec","batch1_und100_37425","2011-07-25","il","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Upper Mississippi","Ozarks","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Upper Mississippi-Kaskaskia-Meramec","Heartland","Midwest","freshwater","river","river","surfacewater","stream/river",146,"idexxquantitray","mpn","mpn"
