"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc"
"1","mwrdwqx","batchf_93633","2009-01-20","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",50,"idexxquantitray","mpn","mpn"
"2","mwrdwqx","batchf_101181","2009-01-20","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",67,"idexxquantitray","mpn","mpn"
"3","mwrdwqx","batchf_101187","2009-01-20","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",93,"idexxquantitray","mpn","mpn"
"4","mwrdwqx","batchf_148839","2009-08-10","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",435,"idexxquantitray","mpn","mpn"
"5","mwrdwqx","batchf_85698","2009-01-20","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",344,"idexxquantitray","mpn","mpn"
"6","mwrdwqx","batchf_87774","2009-01-20","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",35,"idexxquantitray","mpn","mpn"
"7","mwrdwqx","batchf_90930","2009-01-20","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",11,"idexxquantitray","mpn","mpn"
"8","mwrdwqx","batchf_103448","2010-07-07","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",308,"idexxquantitray","mpn","mpn"
"9","mwrdwqx","batchf_103428","2010-09-26","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",121,"idexxquantitray","mpn","mpn"
"10","mwrdwqx","batchf_103469","2010-06-03","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",980,"idexxquantitray","mpn","mpn"
"11","mwrdwqx","batchf_103444","2010-08-22","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",261,"idexxquantitray","mpn","mpn"
"12","mwrdwqx","batchf_103417","2010-10-27","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",54,"idexxquantitray","mpn","mpn"
"13","mwrdwqx","batchf_103381","2010-12-12","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",9,"idexxquantitray","mpn","mpn"
"14","mwrdwqx","batchf_103385","2010-11-15","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",12,"idexxquantitray","mpn","mpn"
"15","mwrdwqx","batchf_93636","2010-04-25","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",66,"idexxquantitray","mpn","mpn"
"16","mwrdwqx","batchf_85589","2010-04-25","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",70,"idexxquantitray","mpn","mpn"
"17","mwrdwqx","batchf_96759","2010-04-25","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",80,"idexxquantitray","mpn","mpn"
"18","mwrdwqx","batchf_103587","2010-10-27","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",147,"idexxquantitray","mpn","mpn"
"19","mwrdwqx","batchf_103602","2010-11-15","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",261,"idexxquantitray","mpn","mpn"
"20","mwrdwqx","batchf_103610","2010-12-12","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",365,"idexxquantitray","mpn","mpn"
"21","mwrdwqx","batchf_103608","2010-06-03","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",313,"idexxquantitray","mpn","mpn"
