"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","njdepbfbm","batchf_284832","2009-05-12","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","North Atlantic Coast","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river","grabsample",41,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"2","njdepbfbm","batchf_284833","2009-05-19","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","North Atlantic Coast","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river","grabsample",51,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"3","njdepbfbm","batchf_284840","2009-06-09","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","North Atlantic Coast","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river","grabsample",770,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"4","njdepbfbm","batchf_284831","2009-05-26","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","North Atlantic Coast","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river","grabsample",24,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"5","njdepbfbm","batchf_284835","2009-06-02","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","North Atlantic Coast","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","river","river","surfacewater","stream/river","grabsample",160,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"6","njdepbfbm","batchf_167976","2009-05-26","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","North Atlantic Coast","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",34,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"7","njdepbfbm","batchf_167974","2009-05-19","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","North Atlantic Coast","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",24,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"8","njdepbfbm","batchf_167975","2009-05-12","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","North Atlantic Coast","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",27,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"9","njdepbfbm","batchf_167981","2009-06-02","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","North Atlantic Coast","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",360,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
"10","njdepbfbm","batchf_167983","2009-06-09","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","North Atlantic Coast","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river","grabsample",780,"epa1103","membranefiltration","membranefiltration",NA,NA,NA,NA
