"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","oglalast","batch_99676","2008-07-14","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",575,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"2","oglalast","batch_99677","2008-09-03","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",629,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"3","oglalast","batch_99672","2008-10-08","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",328,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"4","oglalast","batch_99674","2008-08-13","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",416,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"5","oglalast","batch_99663","2008-09-08","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",186,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"6","oglalast","batch_99658","2008-07-15","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"7","oglalast","batch_99662","2008-10-05","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",115,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"8","oglalast","batch_99666","2008-08-20","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",914,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"9","oglalast","batch_141627","2009-06-29","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",961,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"10","oglalast","batch_141626","2009-07-21","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",260,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
