"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc"
"1","okconcomwqx","batch2_lt100_21767","2014-08-25","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,10,"sm9222g","membranefiltration","membranefiltration"
"2","okconcomwqx","batch2_lt100_21766","2014-07-28","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,10,"sm9222g","membranefiltration","membranefiltration"
"3","okconcomwqx","batch2_lt100_21762","2014-08-11","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,0,"sm9222g","membranefiltration","membranefiltration"
"4","okconcomwqx","batch2_lt100_21763","2014-09-08","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,0,"sm9222g","membranefiltration","membranefiltration"
"5","okconcomwqx","batch2_lt100_21764","2014-07-14","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,0,"sm9222g","membranefiltration","membranefiltration"
"6","okconcomwqx","batch2_lt100_21765","2015-06-14","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,0,"sm9222g","membranefiltration","membranefiltration"
"7","okconcomwqx","batch2_lt100_21768","2015-05-18","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,40,"sm9222g","membranefiltration","membranefiltration"
"8","okconcomwqx","batch2_lt100_21770","2015-06-01","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,60,"sm9222g","membranefiltration","membranefiltration"
"9","okconcomwqx","batch2_lt100_21769","2015-06-29","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,60,"sm9222g","membranefiltration","membranefiltration"
"10","okconcomwqx","batch2_369849","2014-07-28","ok","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,0,"sm9222g","membranefiltration","membranefiltration"
