"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc"
"1","omtribewqx","batch_112420","2008-08-05","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Arkansas-Keystone","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",6.2,"idexxquantitray","mpn","mpn"
"2","omtribewqx","batch_112454","2008-06-29","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Arkansas-Keystone","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",199,"idexxquantitray","mpn","mpn"
"3","omtribewqx","batch_112478","2008-10-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Arkansas-Keystone","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",130,"idexxquantitray","mpn","mpn"
"4","omtribewqx","batch_112534","2008-06-29","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Arkansas-Keystone","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",148,"idexxquantitray","mpn","mpn"
"5","omtribewqx","batch_112517","2008-08-05","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Arkansas-Keystone","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",25,"idexxquantitray","mpn","mpn"
"6","omtribewqx","batch_147717","2008-10-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Arkansas-Keystone","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",285,"idexxquantitray","mpn","mpn"
"7","omtribewqx","batch_147766","2008-06-29","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Arkansas-Keystone","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",378,"idexxquantitray","mpn","mpn"
"8","omtribewqx","batch_147738","2008-08-05","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Arkansas-Keystone","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",8.4,"idexxquantitray","mpn","mpn"
"9","omtribewqx","batch_147724","2008-10-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Arkansas-Keystone","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",727,"idexxquantitray","mpn","mpn"
"10","omtribewqx","batch_147659","2008-08-05","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Arkansas-Keystone","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",34.5,"idexxquantitray","mpn","mpn"
"11","omtribewqx","batch_147680","2008-06-29","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Arkansas-Keystone","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",687,"idexxquantitray","mpn","mpn"
