"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","ottawatribeofok","batchf_154169","2011-11-20","ok","West South Central","GREAT PLAINS","TEMPERATE PRAIRIES","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Neosho-Verdigris","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",13.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"2","ottawatribeofok","batchf_154178","2011-10-24","ok","West South Central","GREAT PLAINS","TEMPERATE PRAIRIES","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Neosho-Verdigris","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",75.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"3","ottawatribeofok","batchf_154174","2011-12-14","ok","West South Central","GREAT PLAINS","TEMPERATE PRAIRIES","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Neosho-Verdigris","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",547.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"4","ottawatribeofok","batchf_157307","2011-11-20","ok","West South Central","GREAT PLAINS","TEMPERATE PRAIRIES","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Neosho-Verdigris","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",12.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"5","ottawatribeofok","batchf_157355","2011-10-24","ok","West South Central","GREAT PLAINS","TEMPERATE PRAIRIES","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Neosho-Verdigris","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",325.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"6","ottawatribeofok","batchf_157314","2011-12-14","ok","West South Central","GREAT PLAINS","TEMPERATE PRAIRIES","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Neosho-Verdigris","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"7","ottawatribeofok","batchf_126866","2011-12-14","ok","West South Central","GREAT PLAINS","TEMPERATE PRAIRIES","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Neosho-Verdigris","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",78,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"8","ottawatribeofok","batchf_126869","2011-11-20","ok","West South Central","GREAT PLAINS","TEMPERATE PRAIRIES","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Neosho-Verdigris","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",178.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"9","ottawatribeofok","batchf_126940","2011-10-24","ok","West South Central","GREAT PLAINS","TEMPERATE PRAIRIES","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Neosho-Verdigris","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",214.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"10","ottawatribeofok","batchf_162557","2011-10-24","ok","West South Central","GREAT PLAINS","TEMPERATE PRAIRIES","Central Prairie","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Neosho-Verdigris","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",21.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
