"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","rcewrp","batch1_und100_59850","2007-08-15","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",16000,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"2","rcewrp","batch1_und100_59848","2007-08-06","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",14000,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"3","rcewrp","batch1_und100_59844","2007-09-24","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",1900,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"4","rcewrp","batch1_und100_59847","2007-08-20","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",6300,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"5","rcewrp","batch1_und100_59845","2007-07-23","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",2400,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"6","rcewrp","batch1_und100_59849","2007-08-13","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",4800,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"7","rcewrp","batch1_und100_59846","2007-07-30","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",3600,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"8","rcewrp","batch1_und100_59902","2007-07-23","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",2600,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"9","rcewrp","batch1_und100_59909","2007-09-10","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",78000,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
"10","rcewrp","batch1_und100_59892","2007-07-02","nj","Middle Atlantic","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Northeast","freshwater","stream","stream","surfacewater","stream/river",2300,"mColiBlue","membranefiltration","membranefiltration",NA,NA,NA,NA
