"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc"
"1","rrwcwqx","batchf_284814","1998-08-16","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",12,"idexxquantitray","mpn","mpn"
"2","rrwcwqx","batchf_284819","1998-08-03","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",29,"idexxquantitray","mpn","mpn"
"3","rrwcwqx","batchf_284815","1998-09-17","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",12,"idexxquantitray","mpn","mpn"
"4","rrwcwqx","batchf_284818","1998-09-28","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",20,"idexxquantitray","mpn","mpn"
"5","rrwcwqx","batchf_284813","1998-08-26","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",7,"idexxquantitray","mpn","mpn"
"6","rrwcwqx","batchf_284811","1998-09-01","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",2,"idexxquantitray","mpn","mpn"
"7","rrwcwqx","batchf_284817","1998-08-10","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",14,"idexxquantitray","mpn","mpn"
"8","rrwcwqx","batchf_284816","1998-09-07","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",13,"idexxquantitray","mpn","mpn"
"9","rrwcwqx","batchf_284812","1998-08-19","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",6,"idexxquantitray","mpn","mpn"
"10","rrwcwqx","batchf_284820","1998-09-22","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",31,"idexxquantitray","mpn","mpn"
"11","rrwcwqx","batchf_205081","1998-08-16","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",2419,"idexxquantitray","mpn","mpn"
"12","rrwcwqx","batchf_205082","1998-08-26","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",2419,"idexxquantitray","mpn","mpn"
"13","rrwcwqx","batchf_205072","1998-09-28","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",687,"idexxquantitray","mpn","mpn"
"14","rrwcwqx","batchf_205078","1998-08-10","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",1300,"idexxquantitray","mpn","mpn"
"15","rrwcwqx","batchf_205074","1998-08-03","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",1203,"idexxquantitray","mpn","mpn"
"16","rrwcwqx","batchf_205060","1998-08-19","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",161,"idexxquantitray","mpn","mpn"
"17","rrwcwqx","batchf_205084","1998-09-22","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",3628.5,"idexxquantitray","mpn","mpn"
"18","rrwcwqx","batchf_205058","1998-09-01","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",33,"idexxquantitray","mpn","mpn"
"19","rrwcwqx","batchf_205067","1998-09-07","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",435,"idexxquantitray","mpn","mpn"
"20","rrwcwqx","batchf_224269","1998-07-26","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",214,"idexxquantitray","mpn","mpn"
"21","rrwcwqx","batchf_231150","1998-07-26","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",214,"idexxquantitray","mpn","mpn"
"22","rrwcwqx","batchf_236225","1998-08-20","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",365,"idexxquantitray","mpn","mpn"
"23","rrwcwqx","batchf_236233","1998-09-15","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",866,"idexxquantitray","mpn","mpn"
"24","rrwcwqx","batchf_236224","1998-08-16","or","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Oregon & Northern California Coastal","Klamath Mountains","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",291,"idexxquantitray","mpn","mpn"
