"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc"
"1","sacfoxmo","batch_143644","2011-06-20","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-Nishnabotna","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",3100,"epa1603","membranefiltration","membranefiltration"
"2","sacfoxmo","batch_143645","2011-05-30","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-Nishnabotna","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",4500,"epa1603","membranefiltration","membranefiltration"
"3","sacfoxmo","batch_143642","2011-06-07","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-Nishnabotna","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",700,"epa1603","membranefiltration","membranefiltration"
"4","sacfoxmo","batch_143638","2011-09-20","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-Nishnabotna","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",204,"epa1603","membranefiltration","membranefiltration"
"5","sacfoxmo","batch_143637","2011-09-06","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-Nishnabotna","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",124,"epa1603","membranefiltration","membranefiltration"
"6","sacfoxmo","batch_143636","2011-10-04","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-Nishnabotna","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",50,"epa1603","membranefiltration","membranefiltration"
"7","sacfoxmo","batch_143641","2011-07-18","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-Nishnabotna","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",410,"epa1603","membranefiltration","membranefiltration"
"8","sacfoxmo","batch_143643","2011-07-04","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-Nishnabotna","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",850,"epa1603","membranefiltration","membranefiltration"
"9","sacfoxmo","batch_143634","2011-10-18","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-Nishnabotna","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",36,"epa1603","membranefiltration","membranefiltration"
"10","sacfoxmo","batch_143654","2011-04-27","ks","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Middle Missouri","Central Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-Nishnabotna","Northern Plains","Eastern Great Plains","freshwater","stream","stream","surfacewater","stream/river",84,"idexxquantitray","mpn","mpn"
