"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc"
"1","shoshonebannock","batch_127806","2008-11-17","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",NA,7.3,"epa1603","membranefiltration","membranefiltration"
"2","shoshonebannock","batch_148369","2008-11-17","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",NA,117.8,"epa1603","membranefiltration","membranefiltration"
"3","shoshonebannock","batch_143780","2008-11-18","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",NA,0,"epa1603","membranefiltration","membranefiltration"
"4","shoshonebannock","batch_143784","2008-11-17","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",NA,5.2,"epa1603","membranefiltration","membranefiltration"
"5","shoshonebannock","batch_141796","2008-11-17","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",NA,16,"epa1603","membranefiltration","membranefiltration"
"6","shoshonebannock","batch_141800","2008-11-18","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",NA,65.7,"epa1603","membranefiltration","membranefiltration"
"7","shoshonebannock","batch_127809","2009-05-18","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",NA,45.7,"epa1603","membranefiltration","membranefiltration"
"8","shoshonebannock","batch_127814","2009-03-17","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",NA,139.6,"epa1603","membranefiltration","membranefiltration"
"9","shoshonebannock","batch_127811","2009-01-20","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",NA,73.3,"epa1603","membranefiltration","membranefiltration"
"10","shoshonebannock","batch_127591","2009-09-30","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Upper Snake","Utah-Wyoming Rocky Mountains","temperate upland rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",NA,261.3,"idexxquantitray","mpn","mpn"
