"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","skok","skok_2890","2012-09-16","wa","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Alaska & Canada Pacific Coastal","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",3,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"2","skok","skok_2825","2012-09-16","wa","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Alaska & Canada Pacific Coastal","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",5,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"3","skok","skok_3033","2012-09-16","wa","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Alaska & Canada Pacific Coastal","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",0,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"4","skok","skok_3313","2012-10-24","wa","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Alaska & Canada Pacific Coastal","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",36,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"5","skok","skok_2799","2012-09-16","wa","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Alaska & Canada Pacific Coastal","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",0,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"6","skok","skok_3200","2012-08-19","wa","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Alaska & Canada Pacific Coastal","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",37,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"7","skok","skok_3304","2012-10-30","wa","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Alaska & Canada Pacific Coastal","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",0,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"8","skok","skok_3311","2012-10-24","wa","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Alaska & Canada Pacific Coastal","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",24,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"9","skok","skok_2774","2012-08-19","wa","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Alaska & Canada Pacific Coastal","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",20,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
"10","skok","skok_2892","2012-09-16","wa","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Alaska & Canada Pacific Coastal","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","temperate coastal rivers","Temperate Conifer Forests","Pacific Northwest Region","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river","grabsample",2,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,NA,NA,NA,NA
