"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","stmu","stmu_1555","2015-09-22","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",148.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"2","stmu","stmu_1502","2015-07-21","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",93.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"3","stmu","stmu_1455","2015-05-27","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",15.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"4","stmu","stmu_1436","2015-04-28","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"5","stmu","stmu_1428","2015-04-14","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"6","stmu","stmu_1569","2015-10-06","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",45,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"7","stmu","stmu_1606","2015-11-17","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",51.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"8","stmu","stmu_1542","2015-09-08","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",298.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"9","stmu","stmu_1464","2015-06-09","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",51.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"10","stmu","stmu_1516","2015-08-04","wi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Superior Mixed Forest","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river","grabsample",79.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
