"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc"
"1","ummp","batchf_114186","1995-11-19","nh","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river","grabsample",0.5,"sm9222g","membranefiltration","membranefiltration"
"2","ummp","batchf_114238","1995-10-22","nh","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river","grabsample",530,"sm9222g","membranefiltration","membranefiltration"
"3","ummp","batchf_114218","1995-09-24","nh","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river","grabsample",40,"sm9222g","membranefiltration","membranefiltration"
"4","ummp","batchf_114187","1995-11-05","nh","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river","grabsample",0.5,"sm9222g","membranefiltration","membranefiltration"
"5","ummp","batchf_114233","1995-10-08","nh","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river","grabsample",120,"sm9222g","membranefiltration","membranefiltration"
"6","ummp","batchf_116034","1995-09-24","nh","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river","grabsample",0.5,"sm9222g","membranefiltration","membranefiltration"
"7","ummp","batchf_116062","1995-10-08","nh","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222g","membranefiltration","membranefiltration"
"8","ummp","batchf_116048","1995-11-19","nh","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river","grabsample",10,"sm9222g","membranefiltration","membranefiltration"
"9","ummp","batchf_116067","1995-11-05","nh","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river","grabsample",30,"sm9222g","membranefiltration","membranefiltration"
"10","ummp","batchf_116084","1995-10-22","nh","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","river","river","surfacewater","stream/river","grabsample",870,"sm9222g","membranefiltration","membranefiltration"
