"","study_sh","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","usgsca","2016-10-17","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"2","usgsca","2016-09-13","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"3","usgsca","2016-10-17","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"4","usgsca","2016-09-25","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"5","usgsca","2016-11-13","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"6","usgsca","2016-12-18","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"7","usgsca","2016-12-18","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"8","usgsca","2016-09-25","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"9","usgsca","2016-10-30","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"10","usgsca","2016-10-16","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"11","usgsca","2016-09-13","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"12","usgsca","2016-08-24","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
