"","study_sh","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","usgsla","2012-09-18","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Ouachita Highlands","Upper West Gulf Coastal Plain","temperate upland rivers","Temperate Conifer Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA
"2","usgsla","2014-07-27","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Ouachita Highlands","Upper West Gulf Coastal Plain","temperate upland rivers","Temperate Conifer Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"3","usgsla","2013-08-12","la","East South Central","GREAT PLAINS","TEXAS-LOUISIANA COASTAL PLAIN","Sabine - Galveston","Gulf Coast Prairies And Marshes","temperate coastal rivers","Tropical and Subtropical Grasslands, Savannas and Shrublands","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"4","usgsla","2020-07-27","la","East South Central","GREAT PLAINS","TEXAS-LOUISIANA COASTAL PLAIN","Sabine - Galveston","Gulf Coast Prairies And Marshes","temperate coastal rivers","Tropical and Subtropical Grasslands, Savannas and Shrublands","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"5","usgsla","2020-08-18","la","East South Central","GREAT PLAINS","TEXAS-LOUISIANA COASTAL PLAIN","Sabine - Galveston","Gulf Coast Prairies And Marshes","temperate coastal rivers","Tropical and Subtropical Grasslands, Savannas and Shrublands","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"6","usgsla","2020-07-29","la","East South Central","GREAT PLAINS","TEXAS-LOUISIANA COASTAL PLAIN","Sabine - Galveston","Gulf Coast Prairies And Marshes","temperate coastal rivers","Tropical and Subtropical Grasslands, Savannas and Shrublands","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"7","usgsla","2020-08-12","la","East South Central","GREAT PLAINS","TEXAS-LOUISIANA COASTAL PLAIN","Sabine - Galveston","Gulf Coast Prairies And Marshes","temperate coastal rivers","Tropical and Subtropical Grasslands, Savannas and Shrublands","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"8","usgsla","2020-09-14","la","East South Central","GREAT PLAINS","TEXAS-LOUISIANA COASTAL PLAIN","Sabine - Galveston","Gulf Coast Prairies And Marshes","temperate coastal rivers","Tropical and Subtropical Grasslands, Savannas and Shrublands","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"9","usgsla","2013-09-10","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Sabine - Galveston","West Gulf Coastal Plain","temperate coastal rivers","Temperate Conifer Forests","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"10","usgsla","2020-10-07","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Sabine - Galveston","West Gulf Coastal Plain","temperate coastal rivers","Temperate Conifer Forests","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"11","usgsla","2020-10-19","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Sabine - Galveston","West Gulf Coastal Plain","temperate coastal rivers","Temperate Conifer Forests","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"12","usgsla","2020-08-19","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Sabine - Galveston","West Gulf Coastal Plain","temperate coastal rivers","Temperate Conifer Forests","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"13","usgsla","2020-10-18","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Sabine - Galveston","West Gulf Coastal Plain","temperate coastal rivers","Temperate Conifer Forests","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"14","usgsla","2013-08-26","la","East South Central","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Lower Mississippi","Mississippi River Alluvial Plain","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"15","usgsla","2020-08-24","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Sabine - Galveston","West Gulf Coastal Plain","temperate coastal rivers","Temperate Conifer Forests","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"16","usgsla","2020-12-08","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Sabine - Galveston","West Gulf Coastal Plain","temperate coastal rivers","Temperate Conifer Forests","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"17","usgsla","2020-10-06","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Sabine - Galveston","West Gulf Coastal Plain","temperate coastal rivers","Temperate Conifer Forests","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"18","usgsla","2020-07-28","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Sabine - Galveston","West Gulf Coastal Plain","temperate coastal rivers","Temperate Conifer Forests","Lower Mississippi Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"19","usgsla","2012-06-13","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Ouachita Highlands","Upper West Gulf Coastal Plain","temperate upland rivers","Temperate Conifer Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA
"20","usgsla","2012-10-07","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Ouachita Highlands","Upper West Gulf Coastal Plain","temperate upland rivers","Temperate Conifer Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA
"21","usgsla","2012-06-24","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Ouachita Highlands","Upper West Gulf Coastal Plain","temperate upland rivers","Temperate Conifer Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA
"22","usgsla","2012-06-10","la","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Ouachita Highlands","Upper West Gulf Coastal Plain","temperate upland rivers","Temperate Conifer Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA
