"","study_sh","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","usgsmi","2014-08-20","mi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"2","usgsmi","2014-08-19","mi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"3","usgsmi","2014-08-13","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"4","usgsmi","2013-08-25","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"5","usgsmi","2013-08-28","mi","East North Central","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","North Central Tillplain","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"6","usgsmi","2013-08-26","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"7","usgsmi","2014-08-11","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"8","usgsmi","2015-09-02","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","enclosedstormwaterinfrastructure","stormwaterinfrastructure","surfacewater","runoff",13000,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"9","usgsmi","2015-08-01","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","enclosedstormwaterinfrastructure","stormwaterinfrastructure","surfacewater","runoff",16000,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"10","usgsmi","2015-09-02","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","enclosedstormwaterinfrastructure","stormwaterinfrastructure","surfacewater","runoff",8200,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
