"","study_sh","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","usgstn","1999-06-29","al","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Tennessee","Cumberlands And Southern Ridge And Valley","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Tennessee Region","Middle Tennessee-Elk","Southern Region","Southeast","freshwater","groundwater","groundwater","groundwater","groundwater",39,"epa1604","directplating","directplating",NA,NA,NA,NA,NA,NA,NA,NA
"2","usgstn","2013-07-21","tn","East North Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Tennessee","Cumberlands And Southern Ridge And Valley","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Tennessee Region","Upper Tennessee","Eastern Mountains","Southeast","freshwater","groundwater","groundwater","groundwater","groundwater",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"3","usgstn","2007-11-24","tn","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Tennessee","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Tennessee Region","Lower Tennessee","Eastern Mountains","Southeast","freshwater","stream","stream","surfacewater","stream/river",610,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"4","usgstn","2007-11-24","tn","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Tennessee","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Tennessee Region","Lower Tennessee","Eastern Mountains","Southeast","freshwater","stream","stream","surfacewater","stream/river",870,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"5","usgstn","2007-10-22","tn","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Tennessee","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Tennessee Region","Lower Tennessee","Eastern Mountains","Southeast","freshwater","stream","stream","surfacewater","stream/river",580,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"6","usgstn","2007-11-24","tn","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Tennessee","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Tennessee Region","Lower Tennessee","Eastern Mountains","Southeast","freshwater","stream","stream","surfacewater","stream/river",2000,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"7","usgstn","2007-10-22","tn","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Tennessee","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Tennessee Region","Lower Tennessee","Eastern Mountains","Southeast","freshwater","stream","stream","surfacewater","stream/river",2400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"8","usgstn","2007-11-24","tn","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Tennessee","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Tennessee Region","Lower Tennessee","Eastern Mountains","Southeast","freshwater","stream","stream","surfacewater","stream/river",2400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"9","usgstn","2007-11-24","tn","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Tennessee","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Tennessee Region","Lower Tennessee","Eastern Mountains","Southeast","freshwater","stream","stream","surfacewater","stream/river",2000,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"10","usgstn","2007-10-22","tn","East North Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Tennessee","Interior Low Plateau","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Tennessee Region","Lower Tennessee","Eastern Mountains","Southeast","freshwater","stream","stream","surfacewater","stream/river",1100,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
