"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","usiouxwqx","batch_121112","2007-07-29","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",4.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"2","usiouxwqx","batch_121113","2007-08-29","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",5.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"3","usiouxwqx","batch_121127","2008-07-23","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",39.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"4","usiouxwqx","batch_121129","2008-06-23","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",47.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"5","usiouxwqx","batch_121121","2008-08-19","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",13.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"6","usiouxwqx","batch_121130","2009-10-11","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",64.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"7","usiouxwqx","batch_121124","2009-09-20","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",29.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"8","usiouxwqx","batch_121141","2009-10-06","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",866.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"9","usiouxwqx","batch_121115","2009-07-27","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",7.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"10","usiouxwqx","batch_121125","2009-06-23","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",31.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"11","usiouxwqx","batch_121114","2009-06-03","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",6.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"12","usiouxwqx","batch_121137","2009-10-08","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",115.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"13","usiouxwqx","batch_121117","2009-05-05","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",11.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"14","usiouxwqx","batch_121116","2009-07-07","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",10.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"15","usiouxwqx","batch_121119","2009-08-03","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",12.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"16","usiouxwqx","batch_121135","2009-10-22","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",101.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"17","usiouxwqx","batch_121123","2009-08-24","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",26.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"18","usiouxwqx","batch_121140","2009-10-06","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",648.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"19","usiouxwqx","batch_121120","2009-09-01","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",12.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"20","usiouxwqx","batch_121221","2009-10-08","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",133.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"21","usiouxwqx","batch_121219","2009-10-11","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",81.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"22","usiouxwqx","batch_121220","2009-10-22","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",108.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"23","usiouxwqx","batch_121223","2009-10-11","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",90.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"24","usiouxwqx","batch_121224","2009-10-08","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",101,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"25","usiouxwqx","batch_121222","2009-10-22","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",73.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"26","usiouxwqx","batch_121138","2010-08-15","mn","West North Central","GREAT PLAINS","TEMPERATE PRAIRIES","Upper Mississippi","Northern Tallgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Upper Mississippi Region","Upper Midwest","Midwest","freshwater","river","river","surfacewater","stream/river",184.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
