"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc"
"1","wdepwqx","batchf_214674","2015-10-28","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",157.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"2","wdepwqx","batchf_214682","2015-12-07","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",139.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"3","wdepwqx","batchf_214679","2015-11-11","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",648.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"4","wdepwqx","batchf_214673","2016-08-29","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",25.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"5","wdepwqx","batchf_214672","2016-05-16","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",3629.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"6","wdepwqx","batchf_214671","2016-07-07","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",115.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"7","wdepwqx","batchf_214681","2016-01-11","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",41,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"8","wdepwqx","batchf_214675","2016-09-18","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",95.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"9","wdepwqx","batchf_214685","2016-10-25","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",185,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"10","wdepwqx","batchf_214668","2016-06-08","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",131.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
