"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"1","wimmsd","batchf_249055","2010-07-27","wi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",2100,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"2","wimmsd","batchf_249049","2010-11-16","wi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",150,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"3","wimmsd","batchf_249052","2010-06-13","wi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",1400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"4","wimmsd","batchf_249047","2010-04-13","wi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",44,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"5","wimmsd","batchf_249045","2010-10-12","wi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",75,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"6","wimmsd","batchf_249051","2010-05-16","wi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",180,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"7","wimmsd","batchf_249053","2010-08-15","wi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",190,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"8","wimmsd","batchf_249046","2010-08-30","wi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",0.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"9","wimmsd","batchf_240446","2010-08-30","wi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",25,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"10","wimmsd","batchf_240432","2010-10-12","wi","East North Central","WATER","WATER","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Upper Midwest","Midwest","freshwater","stream","stream","surfacewater","stream/river","grabsample",1500,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
