"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc"
"1","wydeqwqx",NA,"2003-10-21","mt","Mountain","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Northern Great Plains Steppe","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",NA,23.1,"idexxquantitray","mpn","mpn"
"2","wydeqwqx","batchf_342877","2003-10-21","mt","Mountain","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Northern Great Plains Steppe","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",23.1,"idexxquantitray","mpn","mpn"
"3","wydeqwqx","batchf_342875","2004-10-18","mt","Mountain","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Northern Great Plains Steppe","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",18.9,"idexxquantitray","mpn","mpn"
"4","wydeqwqx",NA,"2004-10-18","mt","Mountain","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Northern Great Plains Steppe","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",NA,18.9,"idexxquantitray","mpn","mpn"
"5","wydeqwqx",NA,"2005-06-06","ne","West North Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Northern Great Plains Steppe","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river",NA,193.5,"idexxquantitray","mpn","mpn"
"6","wydeqwqx","batchf_355261","2005-06-06","ne","West North Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Northern Great Plains Steppe","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Northern Plains","Eastern Great Plains","freshwater","river","river","surfacewater","stream/river","grabsample",193.5,"idexxquantitray","mpn","mpn"
"7","wydeqwqx","batchf_354388","2004-09-15","wy","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Middle Missouri","Wyoming Basins","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",5.2,"idexxquantitray","mpn","mpn"
"8","wydeqwqx",NA,"2004-09-15","wy","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Middle Missouri","Wyoming Basins","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",NA,5.2,"idexxquantitray","mpn","mpn"
"9","wydeqwqx","batchf_354386","2004-09-15","wy","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Middle Missouri","Wyoming Basins","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",21.1,"idexxquantitray","mpn","mpn"
"10","wydeqwqx",NA,"2004-09-15","wy","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Middle Missouri","Wyoming Basins","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",NA,21.1,"idexxquantitray","mpn","mpn"
"11","wydeqwqx","batchf_344183","2004-09-15","wy","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Middle Missouri","Wyoming Basins","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",54.6,"idexxquantitray","mpn","mpn"
"12","wydeqwqx",NA,"2004-09-15","wy","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Middle Missouri","Wyoming Basins","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",NA,54.6,"idexxquantitray","mpn","mpn"
"13","wydeqwqx","batchf_354374","2004-09-15","wy","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Middle Missouri","Wyoming Basins","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river","grabsample",2,"idexxquantitray","mpn","mpn"
"14","wydeqwqx",NA,"2004-09-15","wy","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Middle Missouri","Wyoming Basins","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",NA,2,"idexxquantitray","mpn","mpn"
"15","wydeqwqx",NA,"2004-10-13","wy","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Middle Missouri","Wyoming Basins","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",NA,21.6,"idexxquantitray","mpn","mpn"
