"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","oe1_2781","grabsample","membrane",1545,"sm9222g","membranefiltration","membranefiltration",24,"sm9230c","membranefiltration","membranefiltration",1200,"sm9222d","sm9222","membranefiltration",2000,"sm9222b","sm9222","membranefiltration"
"2","oei_902","grabsample","membrane",203,"sm9222g","membranefiltration","membranefiltration",29,"sm9230c","membranefiltration","membranefiltration",400,"sm9222d","sm9222","membranefiltration",2090,"sm9222b","sm9222","membranefiltration"
"3","oei_905","grabsample","membrane",2520,"sm9222g","membranefiltration","membranefiltration",38,"sm9230c","membranefiltration","membranefiltration",1500,"sm9222d","sm9222","membranefiltration",2920,"sm9222b","sm9222","membranefiltration"
"4","oei_1237","grabsample","membrane",259,"sm9222g","membranefiltration","membranefiltration",13,"sm9230c","membranefiltration","membranefiltration",225,"sm9222d","sm9222","membranefiltration",3470,"sm9222b","sm9222","membranefiltration"
"5","oei_1240","grabsample","membrane",1820,"sm9222g","membranefiltration","membranefiltration",15,"sm9230c","membranefiltration","membranefiltration",900,"sm9222d","sm9222","membranefiltration",2400,"sm9222b","sm9222","membranefiltration"
"6","oei_2647","grabsample","membrane",49,"sm9222g","membranefiltration","membranefiltration",14,"sm9230c","membranefiltration","membranefiltration",50,"sm9222d","sm9222","membranefiltration",3470,"sm9222b","sm9222","membranefiltration"
"7","oei_2650","grabsample","membrane",50,"sm9222g","membranefiltration","membranefiltration",11,"sm9230c","membranefiltration","membranefiltration",60,"sm9222d","sm9222","membranefiltration",940,"sm9222b","sm9222","membranefiltration"
"8","oei_1318","grabsample","membrane",100,"sm9222g","membranefiltration","membranefiltration",4,"sm9230c","membranefiltration","membranefiltration",64,"sm9222d","sm9222","membranefiltration",490,"sm9222b","sm9222","membranefiltration"
"9","oei_1315","grabsample","membrane",78,"sm9222g","membranefiltration","membranefiltration",25,"sm9230c","membranefiltration","membranefiltration",140,"sm9222d","sm9222","membranefiltration",3970,"sm9222b","sm9222","membranefiltration"
"10","oei_1679","grabsample","membrane",101,"sm9222g","membranefiltration","membranefiltration",7,"sm9230c","membranefiltration","membranefiltration",185,"sm9222d","sm9222","membranefiltration",3970,"sm9222b","sm9222","membranefiltration"
"11","oei_1685","grabsample","membrane",100,"sm9222g","membranefiltration","membranefiltration",6,"sm9230c","membranefiltration","membranefiltration",50,"sm9222d","sm9222","membranefiltration",430,"sm9222b","sm9222","membranefiltration"
"12","oei_2130","grabsample","membrane",245,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,200,"sm9222d","sm9222","membranefiltration",3970,"sm9222b","sm9222","membranefiltration"
"13","oei_2145","grabsample","membrane",271,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,260,"sm9222d","sm9222","membranefiltration",7260,"sm9222b","sm9222","membranefiltration"
"14","oei_2215","grabsample","membrane",3470,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,9000,"sm9222d","sm9222","membranefiltration",7260,"sm9222b","sm9222","membranefiltration"
"15","oe1_2773","grabsample","membrane",3470,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,9000,"sm9222d","sm9222","membranefiltration",7260,"sm9222b","sm9222","membranefiltration"
"16","oei_2279","grabsample","membrane",8,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,200,"sm9222d","sm9222","membranefiltration",26,"sm9222b","sm9222","membranefiltration"
"17","oei_2284","grabsample","membrane",24,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",172,"sm9222b","sm9222","membranefiltration"
"18","oei_2280","grabsample","membrane",48,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,20,"sm9222d","sm9222","membranefiltration",336,"sm9222b","sm9222","membranefiltration"
"19","oei_2178","grabsample","membrane",2830,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,4400,"sm9222d","sm9222","membranefiltration",7260,"sm9222b","sm9222","membranefiltration"
"20","oei_2285","grabsample","membrane",2600,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,4100,"sm9222d","sm9222","membranefiltration",7260,"sm9222b","sm9222","membranefiltration"
"21","oei_2358","grabsample","membrane",19,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,10,"sm9222d","sm9222","membranefiltration",37,"sm9222b","sm9222","membranefiltration"
"22","oei_2","grabsample","membrane",50,"sm9222g","membranefiltration","membranefiltration",34,"sm9230c","membranefiltration","membranefiltration",91,"sm9222d","sm9222","membranefiltration",380,"sm9222b","sm9222","membranefiltration"
"23","oei_2362","grabsample","membrane",37,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,250,"sm9222d","sm9222","membranefiltration",7260,"sm9222b","sm9222","membranefiltration"
