"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc"
"1","shr","shr_168","2016-08-24","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"2","shr","shr_185","2016-08-31","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",2420.03,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"3","shr","shr_124","2016-07-29","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",1939.01,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"4","shr","shr_11","2016-06-04","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"5","shr","shr_129","2016-07-30","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",355,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"6","shr","shr_86","2016-07-08","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",1939.01,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"7","shr","shr_90","2016-07-09","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",162,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"8","shr","shr_102","2016-07-15","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",177,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"9","shr","shr_104","2016-07-20","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",203,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"10","shr","shr_132","2016-08-03","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",18,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
