"","scri_sample_id","sample_type","sample_filter","fc","fc_methodf","fc_methodm","fc_methodc"
"1","wq_13372","grabsample","membrane",16,"sm9222d","sm9222","membranefiltration"
"2","wq_5095","grabsample","membrane",780,"sm9222d","sm9222","membranefiltration"
"3","wq_5093","grabsample","membrane",400,"sm9222d","sm9222","membranefiltration"
"4","wq_5101","grabsample","membrane",220,"sm9222d","sm9222","membranefiltration"
"5","wq_5096","grabsample","membrane",1600,"sm9222d","sm9222","membranefiltration"
"6","wq_5097","grabsample","membrane",1900,"sm9222d","sm9222","membranefiltration"
"7","wq_5098","grabsample","membrane",1600,"sm9222d","sm9222","membranefiltration"
"8","wq_5103","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"9","wq_5099","grabsample","membrane",520,"sm9222d","sm9222","membranefiltration"
"10","wq_5100","grabsample","membrane",540,"sm9222d","sm9222","membranefiltration"
"11","wq_5102","grabsample","membrane",31,"sm9222d","sm9222","membranefiltration"
"12","wq_5104","grabsample","membrane",13,"sm9222d","sm9222","membranefiltration"
"13","wq_5094","grabsample","membrane",2300,"sm9222d","sm9222","membranefiltration"
"14","wq_5105","grabsample","membrane",10,"sm9222d","sm9222","membranefiltration"
"15","wq_5121","grabsample","membrane",860,"sm9222d","sm9222","membranefiltration"
"16","wq_5124","grabsample","membrane",170,"sm9222d","sm9222","membranefiltration"
"17","wq_5123","grabsample","membrane",160,"sm9222d","sm9222","membranefiltration"
"18","wq_5118","grabsample","membrane",310,"sm9222d","sm9222","membranefiltration"
"19","wq_5126","grabsample","membrane",70,"sm9222d","sm9222","membranefiltration"
"20","wq_5122","grabsample","membrane",190,"sm9222d","sm9222","membranefiltration"
"21","wq_5128","grabsample","membrane",63,"sm9222d","sm9222","membranefiltration"
"22","wq_5117","grabsample","membrane",80,"sm9222d","sm9222","membranefiltration"
"23","wq_5125","grabsample","membrane",92,"sm9222d","sm9222","membranefiltration"
"24","wq_5127","grabsample","membrane",49,"sm9222d","sm9222","membranefiltration"
"25","wq_5120","grabsample","membrane",140,"sm9222d","sm9222","membranefiltration"
"26","wq_5119","grabsample","membrane",250,"sm9222d","sm9222","membranefiltration"
"27","wq_5079","grabsample","membrane",53,"sm9222d","sm9222","membranefiltration"
"28","wq_5085","grabsample","membrane",22,"sm9222d","sm9222","membranefiltration"
"29","wq_5075","grabsample","membrane",36,"sm9222d","sm9222","membranefiltration"
"30","wq_5080","grabsample","membrane",10,"sm9222d","sm9222","membranefiltration"
"31","wq_5084","grabsample","membrane",32,"sm9222d","sm9222","membranefiltration"
"32","wq_5076","grabsample","membrane",18,"sm9222d","sm9222","membranefiltration"
"33","wq_5082","grabsample","membrane",22,"sm9222d","sm9222","membranefiltration"
"34","wq_5081","grabsample","membrane",92,"sm9222d","sm9222","membranefiltration"
"35","wq_5074","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"36","wq_5078","grabsample","membrane",670,"sm9222d","sm9222","membranefiltration"
"37","wq_5077","grabsample","membrane",37,"sm9222d","sm9222","membranefiltration"
"38","wq_5083","grabsample","membrane",16,"sm9222d","sm9222","membranefiltration"
"39","wq_5064","grabsample","membrane",14,"sm9222d","sm9222","membranefiltration"
"40","wq_5061","grabsample","membrane",23,"sm9222d","sm9222","membranefiltration"
"41","wq_5055","grabsample","membrane",47,"sm9222d","sm9222","membranefiltration"
"42","wq_5058","grabsample","membrane",440,"sm9222d","sm9222","membranefiltration"
"43","wq_5063","grabsample","membrane",500,"sm9222d","sm9222","membranefiltration"
"44","wq_5057","grabsample","membrane",67,"sm9222d","sm9222","membranefiltration"
"45","wq_5059","grabsample","membrane",420,"sm9222d","sm9222","membranefiltration"
"46","wq_5056","grabsample","membrane",220,"sm9222d","sm9222","membranefiltration"
"47","wq_5065","grabsample","membrane",89,"sm9222d","sm9222","membranefiltration"
"48","wq_5060","grabsample","membrane",40,"sm9222d","sm9222","membranefiltration"
"49","wq_5066","grabsample","membrane",1,"sm9222d","sm9222","membranefiltration"
"50","wq_5062","grabsample","membrane",51,"sm9222d","sm9222","membranefiltration"
"51","wq_4982","grabsample","membrane",320,"sm9222d","sm9222","membranefiltration"
"52","wq_4979","grabsample","membrane",290,"sm9222d","sm9222","membranefiltration"
"53","wq_4984","grabsample","membrane",400,"sm9222d","sm9222","membranefiltration"
"54","wq_4983","grabsample","membrane",1800,"sm9222d","sm9222","membranefiltration"
"55","wq_4986","grabsample","membrane",140,"sm9222d","sm9222","membranefiltration"
