"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","sal_pa","sal_vol","sal_molecular","sal_inva","sal_ttr","pec_pa","stec_pa","epec_pa","o157h7_pa","pec_vol","pec_molecular","pec_stx","pec_eaea","pec_rfb0157","pec_hly","pec_h7flic","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","zuf","zuf183","2012-11-21","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",13.5,"idexxquantitray","mpn","mpn",66.3,"idexxquantitray","mpn","mpn",26030,"idexxquantitray","mpn","mpn"
"2","zuf","zuf181","2012-11-07","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","p",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",68.1,"idexxquantitray","mpn","mpn",7270,"idexxquantitray","mpn","mpn"
"3","zuf","zuf188","2012-12-23","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",7.5,"idexxquantitray","mpn","mpn",67,"idexxquantitray","mpn","mpn",34480,"idexxquantitray","mpn","mpn"
"4","zuf","zuf182","2012-11-14","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",686.7,"idexxquantitray","mpn","mpn",11780,"idexxquantitray","mpn","mpn"
"5","zuf","zuf184","2012-11-28","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",66.3,"idexxquantitray","mpn","mpn",41,"idexxquantitray","mpn","mpn",52470,"idexxquantitray","mpn","mpn"
"6","zuf","zuf187","2012-12-19","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",0,"n","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",14.6,"idexxquantitray","mpn","mpn",36540,"idexxquantitray","mpn","mpn"
"7","zuf","zuf186","2012-12-12","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",307.6,"idexxquantitray","mpn","mpn",365400,"idexxquantitray","mpn","mpn"
"8","zuf","zuf189","2012-12-26","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",58.3,"idexxquantitray","mpn","mpn",19180,"idexxquantitray","mpn","mpn"
"9","zuf","zuf185","2012-12-05","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",0,"n","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",52.8,"idexxquantitray","mpn","mpn",141360,"idexxquantitray","mpn","mpn"
"10","zuf","zuf271","2012-11-07","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",76.3,"idexxquantitray","mpn","mpn",613.1,"idexxquantitray","mpn","mpn",13540,"idexxquantitray","mpn","mpn"
