"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc"
"1","aust","aust_3614","2003-10-20","tx","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","East Texas Gulf","Edwards Plateau","temperate coastal rivers","Temperate Grasslands, Savannas and Shrublands","Texas-Gulf Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",200,"sm9222g","membranefiltration","membranefiltration"
"2","aust","aust_3369","2004-12-08","tx","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","East Texas Gulf","Edwards Plateau","temperate coastal rivers","Temperate Grasslands, Savannas and Shrublands","Texas-Gulf Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",52,"sm9222g","membranefiltration","membranefiltration"
"3","aust","aust_3553","2004-06-23","tx","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","East Texas Gulf","Edwards Plateau","temperate coastal rivers","Temperate Grasslands, Savannas and Shrublands","Texas-Gulf Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",158,"sm9222g","membranefiltration","membranefiltration"
"4","aust","aust_3312","2004-10-06","tx","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","East Texas Gulf","Edwards Plateau","temperate coastal rivers","Temperate Grasslands, Savannas and Shrublands","Texas-Gulf Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",9,"sm9222g","membranefiltration","membranefiltration"
"5","aust","aust_2999","2004-12-08","tx","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","East Texas Gulf","Edwards Plateau","temperate coastal rivers","Temperate Grasslands, Savannas and Shrublands","Texas-Gulf Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",42,"sm9222g","membranefiltration","membranefiltration"
"6","aust","aust_3523","2004-03-10","tx","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","East Texas Gulf","Edwards Plateau","temperate coastal rivers","Temperate Grasslands, Savannas and Shrublands","Texas-Gulf Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",5,"sm9222g","membranefiltration","membranefiltration"
"7","aust","aust_3557","2004-06-23","tx","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","East Texas Gulf","Edwards Plateau","temperate coastal rivers","Temperate Grasslands, Savannas and Shrublands","Texas-Gulf Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",17,"sm9222g","membranefiltration","membranefiltration"
"8","aust","aust_3365","2004-12-08","tx","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","East Texas Gulf","Edwards Plateau","temperate coastal rivers","Temperate Grasslands, Savannas and Shrublands","Texas-Gulf Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",84,"sm9222g","membranefiltration","membranefiltration"
"9","aust","aust_3558","2004-06-23","tx","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","East Texas Gulf","Edwards Plateau","temperate coastal rivers","Temperate Grasslands, Savannas and Shrublands","Texas-Gulf Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",50,"sm9222g","membranefiltration","membranefiltration"
"10","aust","aust_3344","2004-11-12","tx","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","East Texas Gulf","Edwards Plateau","temperate coastal rivers","Temperate Grasslands, Savannas and Shrublands","Texas-Gulf Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",234,"sm9222g","membranefiltration","membranefiltration"
