"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc"
"1","bes_332","grabsample","none",1200,"coliscanEasygel","directplating","directplating"
"2","bes_301","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"3","bes_365","grabsample","none",20000,"coliscanEasygel","directplating","directplating"
"4","bes_183","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"5","bes_357","grabsample","none",3700,"coliscanEasygel","directplating","directplating"
"6","bes_324","grabsample","none",800,"coliscanEasygel","directplating","directplating"
"7","bes_364","grabsample","none",19000,"coliscanEasygel","directplating","directplating"
"8","bes_302","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"9","bes_353","grabsample","none",2300,"coliscanEasygel","directplating","directplating"
"10","bes_184","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"11","bes_218","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"12","bes_1048","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"13","bes_992","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"14","bes_1127","grabsample","none",2900,"coliscanEasygel","directplating","directplating"
"15","bes_1089","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"16","bes_1131","grabsample","none",5300,"coliscanEasygel","directplating","directplating"
"17","bes_1047","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"18","bes_1110","grabsample","none",800,"coliscanEasygel","directplating","directplating"
"19","bes_991","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"20","bes_1049","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"21","bes_1109","grabsample","none",800,"coliscanEasygel","directplating","directplating"
"22","bes_1129","grabsample","none",3800,"coliscanEasygel","directplating","directplating"
"23","bes_1117","grabsample","none",1300,"coliscanEasygel","directplating","directplating"
"24","bes_1251","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"25","bes_1336","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"26","bes_1248","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"27","bes_1250","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"28","bes_1379","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"29","bes_1334","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"30","bes_1405","grabsample","none",1000,"coliscanEasygel","directplating","directplating"
"31","bes_1335","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"32","bes_1400","grabsample","none",800,"coliscanEasygel","directplating","directplating"
"33","bes_1397","grabsample","none",700,"coliscanEasygel","directplating","directplating"
"34","bes_1249","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"35","bes_1361","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"36","bes_734","grabsample","none",400,"coliscanEasygel","directplating","directplating"
"37","bes_757","grabsample","none",900,"coliscanEasygel","directplating","directplating"
"38","bes_586","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"39","bes_743","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"40","bes_657","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"41","bes_771","grabsample","none",8000,"coliscanEasygel","directplating","directplating"
"42","bes_659","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"43","bes_658","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"44","bes_761","grabsample","none",1500,"coliscanEasygel","directplating","directplating"
"45","bes_696","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"46","bes_695","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"47","bes_768","grabsample","none",4500,"coliscanEasygel","directplating","directplating"
"48","bes_896","grabsample","none",3000,"coliscanEasygel","directplating","directplating"
"49","bes_809","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"50","bes_775","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"51","bes_831","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"52","bes_883","grabsample","none",1500,"coliscanEasygel","directplating","directplating"
"53","bes_891","grabsample","none",2300,"coliscanEasygel","directplating","directplating"
"54","bes_774","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"55","bes_845","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"56","bes_834","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"57","bes_830","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"58","bes_895","grabsample","none",2900,"coliscanEasygel","directplating","directplating"
"59","bes_8","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"60","bes_9","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"61","bes_5","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"62","bes_174","grabsample","none",600,"coliscanEasygel","directplating","directplating"
"63","bes_4","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"64","bes_1","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"65","bes_2","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"66","bes_7","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"67","bes_6","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"68","bes_3","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"69","bes_181","grabsample","none",1300,"coliscanEasygel","directplating","directplating"
"70","bes_1425","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"71","bes_1556","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"72","bes_1428","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"73","bes_1555","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"74","bes_1429","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"75","bes_1427","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"76","bes_1554","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"77","bes_1423","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"78","bes_1422","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"79","bes_1426","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"80","bes_1595","grabsample","none",600,"coliscanEasygel","directplating","directplating"
"81","bes_1424","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"82","bes_272","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"83","bes_255","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"84","bes_292","grabsample","none",400,"coliscanEasygel","directplating","directplating"
"85","bes_340","grabsample","none",1400,"coliscanEasygel","directplating","directplating"
"86","bes_186","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"87","bes_338","grabsample","none",1400,"coliscanEasygel","directplating","directplating"
"88","bes_359","grabsample","none",4900,"coliscanEasygel","directplating","directplating"
"89","bes_304","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"90","bes_222","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"91","bes_194","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"92","bes_291","grabsample","none",400,"coliscanEasygel","directplating","directplating"
"93","bes_219","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"94","bes_329","grabsample","none",1000,"coliscanEasygel","directplating","directplating"
"95","bes_344","grabsample","none",1700,"coliscanEasygel","directplating","directplating"
"96","bes_195","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"97","bes_196","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"98","bes_257","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"99","bes_220","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"100","bes_275","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"101","bes_354","grabsample","none",2500,"coliscanEasygel","directplating","directplating"
"102","bes_224","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"103","bes_185","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"104","bes_303","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"105","bes_221","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"106","bes_223","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"107","bes_273","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"108","bes_333","grabsample","none",1200,"coliscanEasygel","directplating","directplating"
"109","bes_320","grabsample","none",700,"coliscanEasygel","directplating","directplating"
"110","bes_341","grabsample","none",1400,"coliscanEasygel","directplating","directplating"
"111","bes_274","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"112","bes_193","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"113","bes_339","grabsample","none",1400,"coliscanEasygel","directplating","directplating"
"114","bes_326","grabsample","none",900,"coliscanEasygel","directplating","directplating"
"115","bes_190","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"116","bes_187","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"117","bes_191","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"118","bes_256","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"119","bes_337","grabsample","none",1400,"coliscanEasygel","directplating","directplating"
"120","bes_276","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"121","bes_189","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"122","bes_192","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"123","bes_188","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"124","bes_1052","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"125","bes_1000","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"126","bes_1003","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"127","bes_993","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"128","bes_1066","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"129","bes_998","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"130","bes_1007","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"131","bes_1010","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"132","bes_1002","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"133","bes_1068","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"134","bes_1030","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"135","bes_1067","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"136","bes_997","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"137","bes_1065","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"138","bes_1031","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"139","bes_1070","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"140","bes_1119","grabsample","none",1400,"coliscanEasygel","directplating","directplating"
"141","bes_1118","grabsample","none",1400,"coliscanEasygel","directplating","directplating"
"142","bes_1050","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"143","bes_1005","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"144","bes_995","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"145","bes_996","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"146","bes_1001","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"147","bes_994","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"148","bes_1053","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"149","bes_1102","grabsample","none",600,"coliscanEasygel","directplating","directplating"
"150","bes_1124","grabsample","none",2000,"coliscanEasygel","directplating","directplating"
"151","bes_1083","grabsample","none",400,"coliscanEasygel","directplating","directplating"
"152","bes_999","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"153","bes_1006","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"154","bes_1032","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"155","bes_1027","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"156","bes_1084","grabsample","none",400,"coliscanEasygel","directplating","directplating"
"157","bes_1101","grabsample","none",600,"coliscanEasygel","directplating","directplating"
"158","bes_1028","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"159","bes_1009","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"160","bes_1051","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"161","bes_1008","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"162","bes_1085","grabsample","none",400,"coliscanEasygel","directplating","directplating"
"163","bes_1091","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"164","bes_1122","grabsample","none",1500,"coliscanEasygel","directplating","directplating"
"165","bes_1004","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"166","bes_1090","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"167","bes_1069","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"168","bes_1100","grabsample","none",600,"coliscanEasygel","directplating","directplating"
"169","bes_1029","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"170","bes_1413","grabsample","none",1700,"coliscanEasygel","directplating","directplating"
"171","bes_1253","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"172","bes_1263","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"173","bes_1338","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"174","bes_1252","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"175","bes_1262","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"176","bes_1265","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"177","bes_1257","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"178","bes_1267","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"179","bes_1264","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"180","bes_1340","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"181","bes_1362","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"182","bes_1266","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"183","bes_1366","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"184","bes_1260","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"185","bes_1421","grabsample","none",7300,"coliscanEasygel","directplating","directplating"
"186","bes_1407","grabsample","none",1100,"coliscanEasygel","directplating","directplating"
"187","bes_1339","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"188","bes_1255","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"189","bes_1337","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"190","bes_1418","grabsample","none",3000,"coliscanEasygel","directplating","directplating"
"191","bes_1402","grabsample","none",800,"coliscanEasygel","directplating","directplating"
"192","bes_1254","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"193","bes_1401","grabsample","none",800,"coliscanEasygel","directplating","directplating"
