"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc"
"1","bld","bld_8744","2006-09-01","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",166.9,"bld","directplating","directplating",NA,NA,NA,NA
"2","bld","bld_8148","2006-06-28","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",2.5,"bld","directplating","directplating",NA,NA,NA,NA
"3","bld","bld_8781","2006-08-29","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",220.1,"bld","directplating","directplating",NA,NA,NA,NA
"4","bld","bld_8794","2006-07-17","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",242.7,"bld","directplating","directplating",NA,NA,NA,NA
"5","bld","bld_8780","2006-07-27","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",219,"bld","directplating","directplating",NA,NA,NA,NA
"6","bld","bld_8393","2006-08-18","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",27.6,"bld","directplating","directplating",NA,NA,NA,NA
"7","bld","bld_8836","2006-07-11","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",332.5,"bld","directplating","directplating",NA,NA,NA,NA
"8","bld","bld_8770","2006-08-10","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",203,"bld","directplating","directplating",NA,NA,NA,NA
"9","bld","bld_8566","2006-08-31","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",63.4,"bld","directplating","directplating",NA,NA,NA,NA
"10","bld","bld_8711","2006-08-07","il","East North Central","EASTERN TEMPERATE FORESTS","CENTRAL USA PLAINS","Upper Mississippi","Great Lakes","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","Upper Mississippi Region","Heartland","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","none",139.3,"bld","directplating","directplating",NA,NA,NA,NA
