"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","sal_pa","sal_vol","sal_molecular","sal_inva","sal_ttr","pec_pa","o157h7_pa","pec_vol","pec_molecular","pec_stx","pec_eaea","pec_rfb0157","pec_hly","pec_h7flic","lm_pa","ls_pa","lm_vol","lm_molecular_culture","lm_confirm","lm_sigb"
"1","fsl","fsl_505","2009-06-30","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",0,"n",2.39967372148104,"culture","sigB","y"
"2","fsl","fsl_506","2009-10-20","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",0,"p",2.39967372148104,"culture","sigB","y"
"3","fsl","fsl_526","2009-10-20","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",0,"n",2.39967372148104,"culture","sigB","y"
"4","fsl","fsl_525","2009-06-30","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",0,"n",2.39967372148104,"culture","sigB","y"
"5","fsl","fsl_494","2010-09-20","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",0,"p",2.39967372148104,"culture","sigB","y"
"6","fsl","fsl_500","2010-06-14","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",0,"p",2.39967372148104,"culture","sigB","y"
"7","fsl","fsl_499","2010-05-17","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",0,"n",2.39967372148104,"culture","sigB","y"
"8","fsl","fsl_498","2010-03-23","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",0,"n",2.39967372148104,"culture","sigB","y"
"9","fsl","fsl_501","2010-06-14","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",0,"p",2.39967372148104,"culture","sigB","y"
"10","fsl","fsl_508","2010-05-17","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",0,"n",2.39967372148104,"culture","sigB","y"
"11","fsl","fsl_509","2010-09-20","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",0,"p",2.39967372148104,"culture","sigB","y"
"12","fsl","fsl_507","2010-03-23","ny","Middle Atlantic","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Northeastern Region","Northeast","freshwater","ditch","stormwaterinfrastructure","surfacewater","runoff","grabsample","membrane",0,250,"culture","n","n",0,NA,2.39967372148104,"culture","n","n","n","n","n",1,"p",2.39967372148104,"culture","sigB","y"
